Time	L_BF	L_GAL	L_TA	L_VL	R_BF	R_GAL	R_TA	R_VL
0	-0.011613	-0.002454	-0.01381	-0.010078	-0.00145	-0.01214	-3.7e-05	0.014569
0.0005	-0.031099	-0.003023	-0.016563	-0.011944	-0.003068	-0.031036	8.1e-05	0.009899
0.001	-0.074807	-0.002747	-0.01472	-0.01028	-0.005809	-0.030625	0.002066	0.009538
0.0015	-0.112702	-0.000941	-0.008835	-0.006235	-0.007302	-0.009313	0.005604	0.014555
0.002	-0.099497	0.001429	-0.002354	-0.00466	-0.005575	0.019679	0.008309	0.023613
0.0025	-0.042704	0.002266	0.003702	-0.007763	-0.002446	0.043016	0.008359	0.037357
0.003	0.005133	0.001697	0.011484	-0.013152	-0.000692	0.058537	0.007177	0.054305
0.0035	0.014214	0.000548	0.023308	-0.016169	-0.001217	0.074183	0.008025	0.06634
0.004	0.003698	-0.001817	0.040963	-0.01176	-0.002871	0.093571	0.011169	0.068167
0.0045	-0.001749	-0.00396	0.065601	0.00034	-0.003513	0.105673	0.013475	0.06416
0.005	-0.009636	-0.003008	0.093433	0.01523	-0.002837	0.094394	0.013392	0.061342
0.0055	-0.037796	0.000816	0.114627	0.029582	-0.002605	0.057187	0.011644	0.060934
0.006	-0.073906	0.004571	0.119471	0.042213	-0.003857	0.010927	0.008065	0.057694
0.0065	-0.08275	0.005966	0.102596	0.051109	-0.005424	-0.018437	0.001451	0.045619
0.007	-0.053204	0.004897	0.064508	0.055257	-0.005499	-0.013011	-0.008096	0.022745
0.0075	-0.014348	0.001661	0.017571	0.056812	-0.004209	0.022574	-0.017342	-0.007723
0.008	0.002302	-0.002664	-0.012855	0.056998	-0.002025	0.063713	-0.022422	-0.038882
0.0085	-0.003619	-0.004412	-0.00864	0.053559	0.001183	0.085952	-0.02277	-0.061424
0.009	-0.012387	-0.001781	0.016098	0.045522	0.004561	0.082261	-0.020569	-0.068559
0.0095	-0.011683	0.002482	0.025041	0.034084	0.007742	0.064305	-0.017851	-0.065641
0.01	-0.005302	0.005165	-9.1e-05	0.021232	0.010613	0.044772	-0.015129	-0.064236
0.0105	-0.002126	0.005082	-0.041052	0.011172	0.011883	0.017932	-0.012482	-0.066267
0.011	-0.003281	0.003589	-0.067913	0.006285	0.011136	-0.027352	-0.009908	-0.06669
0.0115	-0.002052	0.002839	-0.070639	0.003116	0.009544	-0.077822	-0.007082	-0.06306
0.012	0.005738	0.002132	-0.058931	-0.001966	0.008444	-0.107598	-0.005333	-0.053381
0.0125	0.015942	0.000242	-0.042937	-0.008354	0.008665	-0.118986	-0.006678	-0.035934
0.013	0.021745	-0.00093	-0.026803	-0.015849	0.009889	-0.137327	-0.009437	-0.016769
0.0135	0.020609	-2.5e-05	-0.011967	-0.025051	0.010523	-0.165202	-0.008616	-0.006245
0.014	0.015506	0.001231	0.002236	-0.032301	0.009547	-0.176583	-0.001493	-0.005574
0.0145	0.012494	0.001505	0.015039	-0.033203	0.008057	-0.15829	0.0084	-0.006663
0.015	0.015244	0.001283	0.020224	-0.028179	0.006966	-0.126807	0.01487	-0.003515
0.0155	0.021731	0.001096	0.011303	-0.020448	0.004991	-0.099055	0.016047	0.00245
0.016	0.027352	0.000941	-0.007629	-0.012885	0.001701	-0.069711	0.013821	0.005671
0.0165	0.029375	0.00055	-0.022363	-0.007028	-0.001187	-0.027319	0.00902	0.003215
0.017	0.027675	0.000112	-0.025273	-0.002434	-0.003263	0.022348	0.001573	-0.001198
0.0175	0.023439	0.00043	-0.02287	0.001674	-0.005386	0.060255	-0.005755	-0.001289
0.018	0.019312	0.002092	-0.022724	0.003289	-0.007092	0.069891	-0.008231	0.003583
0.0185	0.017859	0.004837	-0.024492	-0.000939	-0.007902	0.043831	-0.006777	0.007526
0.019	0.018711	0.006657	-0.024946	-0.012122	-0.008782	-0.009201	-0.008434	0.006365
0.0195	0.019277	0.005809	-0.022241	-0.027224	-0.010604	-0.05925	-0.014992	0.00327
0.02	0.017725	0.003554	-0.016185	-0.037961	-0.012461	-0.073443	-0.018545	0.003908
0.0205	0.015469	0.00211	-0.008836	-0.036145	-0.012648	-0.046532	-0.012051	0.008184
0.021	0.014771	0.002114	-0.00344	-0.022202	-0.01123	-0.005665	0.001224	0.010744
0.0215	0.014127	0.002769	-0.001298	-0.004345	-0.009211	0.018311	0.011343	0.009148
0.022	0.011529	0.003371	-0.001779	0.009015	-0.006463	0.019425	0.011709	0.006657
0.0225	0.008392	0.003453	-0.005583	0.01457	-0.003562	0.013581	0.004708	0.006676
0.023	0.006292	0.001579	-0.012836	0.013792	-0.002018	0.015382	-0.001833	0.008806
0.0235	0.006405	-0.002403	-0.019616	0.009262	-0.001804	0.025183	-0.003673	0.010445
0.024	0.010205	-0.00535	-0.023034	0.004327	-0.002564	0.0305	-0.003353	0.009752
0.0245	0.015183	-0.005059	-0.026213	0.002687	-0.004694	0.017066	-0.004556	0.00719
0.025	0.015802	-0.003813	-0.032938	0.003797	-0.007442	-0.014292	-0.006946	0.004818
0.0255	0.011054	-0.004257	-0.04107	0.003801	-0.009035	-0.044453	-0.007383	0.00422
0.026	0.005935	-0.005208	-0.045616	0.00221	-0.00864	-0.056126	-0.004969	0.005841
0.0265	0.005637	-0.004314	-0.045343	0.001416	-0.006937	-0.052686	-0.002691	0.008543
0.027	0.010452	-0.001576	-0.040917	0.001196	-0.005432	-0.04981	-0.002754	0.00943
0.0275	0.016057	0.000437	-0.029461	0.000437	-0.005415	-0.055833	-0.00411	0.007737
0.028	0.018188	0.00024	-0.007362	-7.7e-05	-0.006006	-0.06524	-0.005561	0.006278
0.0285	0.016725	0.000568	0.023213	-0.001071	-0.00454	-0.063749	-0.006643	0.006089
0.029	0.015322	0.002993	0.054402	-0.0037	-0.001373	-0.041839	-0.006007	0.005081
0.0295	0.016158	0.003766	0.078169	-0.005304	-8.2e-05	-0.005883	-0.00309	0.002768
0.03	0.017125	0.000191	0.089239	-0.00363	-0.00098	0.028068	-0.000356	0.000753
0.0305	0.016338	-0.004477	0.083646	-0.001964	-0.000559	0.049564	-9e-06	-0.000269
0.031	0.015686	-0.005543	0.060545	-0.003417	0.001862	0.060388	-0.000191	-1.1e-05
0.0315	0.01836	-0.002114	0.027786	-0.005737	0.003509	0.068592	0.000757	0.0011
0.032	0.024258	0.003241	-0.000598	-0.007066	0.004329	0.077657	-0.000255	0.000372
0.0325	0.028521	0.006713	-0.016824	-0.007661	0.006747	0.080597	-0.005207	-0.002443
0.033	0.026043	0.00662	-0.025412	-0.007218	0.010078	0.070085	-0.009884	-0.003446
0.0335	0.017055	0.005085	-0.033359	-0.007344	0.011365	0.052053	-0.010305	-0.001881
0.034	0.007157	0.003896	-0.039175	-0.009603	0.010332	0.035987	-0.008037	-0.001685
0.0345	0.001387	0.002523	-0.038452	-0.011848	0.009331	0.018275	-0.006137	-0.004819
0.035	-0.000628	0.000639	-0.036192	-0.011221	0.008671	-0.012576	-0.004539	-0.008575
0.0355	-0.001983	-0.001592	-0.041902	-0.008595	0.006331	-0.05771	-0.00065	-0.010382
0.036	-0.004538	-0.004091	-0.052545	-0.00723	0.002971	-0.098667	0.005918	-0.010106
0.0365	-0.007559	-0.005903	-0.053914	-0.007631	0.001721	-0.109757	0.010967	-0.00788
0.037	-0.008158	-0.00569	-0.042147	-0.007963	0.003158	-0.082575	0.009666	-0.00497
0.0375	-0.00771	-0.004543	-0.03135	-0.006609	0.004772	-0.034765	0.001092	-0.002963
0.038	-0.015338	-0.004525	-0.036194	-0.003149	0.004456	0.008035	-0.009929	-0.002938
0.0385	-0.038999	-0.004412	-0.055902	0.000135	0.00262	0.034282	-0.015957	-0.006203
0.039	-0.072818	-0.003157	-0.077058	0.001113	0.000852	0.04577	-0.015422	-0.010167
0.0395	-0.094834	-0.003016	-0.086899	0.000192	-3.1e-05	0.042796	-0.014501	-0.010134
0.04	-0.085208	-0.00378	-0.080379	-0.002532	0.000347	0.021515	-0.017819	-0.007196
0.0405	-0.049684	-0.001437	-0.055764	-0.006315	0.001711	-0.010928	-0.022143	-0.006237
0.041	-0.016002	0.003718	-0.010005	-0.00733	0.002769	-0.025199	-0.020967	-0.008251
0.0415	-0.004059	0.006064	0.054625	-0.004314	0.003402	0.006585	-0.012529	-0.010398
0.042	-0.008806	0.003681	0.118534	-0.001987	0.004056	0.067355	-0.002069	-0.011181
0.0425	-0.014265	-7.7e-05	0.15057	-0.002563	0.003419	0.094413	0.003309	-0.010778
0.043	-0.010547	-0.001966	0.133075	-0.002262	0.001999	0.041751	0.000714	-0.009205
