Time	L_BF	L_GAL	L_TA	L_VL	R_BF	R_GAL	R_TA	R_VL
0	-0.006745	0.001221	-0.004878	0.011949	0.002798	-0.050948	-0.006098	-0.002963
0.0005	-0.006483	-0.001867	-0.039327	0.004396	0.002628	-0.123951	-0.005661	-0.005704
0.001	-0.005457	-0.001584	-0.065653	-0.00348	0.002799	-0.180984	-0.005512	-0.002545
0.0015	-0.004069	0.001221	-0.069447	-0.014245	0.002152	-0.179714	-0.004284	0.004754
0.002	-0.00252	0.003659	-0.050264	-0.028192	0.0006	-0.108894	-0.001435	0.007961
0.0025	-0.00071	0.004188	-0.026535	-0.040537	-0.000201	-0.027818	0.001641	0.002467
0.003	0.000809	0.002764	-0.011369	-0.045064	-0.000175	-0.003468	0.00392	-0.005618
0.0035	0.001486	0.000867	-0.005571	-0.043017	-0.000365	-0.031494	0.005789	-0.008389
0.004	0.001326	-0.000137	-0.012435	-0.041125	-0.001001	-0.049843	0.007437	-0.006572
0.0045	0.000587	-0.000974	-0.03656	-0.038231	-0.002681	-0.022851	0.008524	-0.005417
0.005	-0.000403	-0.001515	-0.069696	-0.028823	-0.004833	0.015436	0.008228	-0.007249
0.0055	-0.001251	-0.000656	-0.093646	-0.014288	-0.00562	0.007315	0.004537	-0.009868
0.006	-0.001545	0.000574	-0.099077	-0.000157	-0.005485	-0.058259	-0.002503	-0.009759
0.0065	-0.001646	0.001354	-0.092899	0.009721	-0.004822	-0.133677	-0.008738	-0.007033
0.007	-0.002734	0.001891	-0.085632	0.015077	-0.002624	-0.164675	-0.011158	-0.005372
0.0075	-0.005034	0.000744	-0.078965	0.017633	-0.000864	-0.141199	-0.011304	-0.006901
0.008	-0.007065	-0.002723	-0.068013	0.018103	-0.002297	-0.093589	-0.01173	-0.009576
0.0085	-0.007134	-0.0053	-0.050584	0.016043	-0.005265	-0.050968	-0.011779	-0.010447
0.009	-0.006137	-0.004099	-0.03117	0.011857	-0.007143	-0.019596	-0.007662	-0.008873
0.0095	-0.006091	-0.000425	-0.015732	0.007578	-0.008414	0.00458	0.003078	-0.006637
0.01	-0.005341	0.003129	-0.005418	0.003807	-0.009611	0.025167	0.016944	-0.006336
0.0105	-0.002305	0.004912	0.001402	-0.000351	-0.009444	0.045734	0.024989	-0.006736
