Time	L_BF	L_GAL	L_TA	L_VL	R_BF	R_GAL	R_TA	R_VL
0	-0.001028	-0.005288	-0.025152	-0.006674	0.002524	-0.004134	0.00071	-0.002926
0.0005	0.000823	-0.005499	-0.029731	-0.025086	0.00134	0.008514	-0.002229	-0.002524
0.001	0.000722	-0.004981	-0.004635	-0.035338	0.000561	0.016758	-0.003088	-0.005067
0.0015	-0.000696	-0.003324	0.062735	-0.034459	0.000351	0.016683	-0.002858	-0.007684
0.002	-0.001402	-0.001573	0.149717	-0.023232	0.000386	0.011398	-0.003542	-0.005179
0.0025	-0.000357	-0.000994	0.205185	-0.003728	0.001089	0.008604	-0.005072	0.001439
0.003	0.001657	-0.001664	0.191266	0.017429	0.003343	0.011054	-0.005753	0.005226
0.0035	0.002806	-0.003719	0.115538	0.031765	0.005701	0.0156	-0.005397	0.004003
0.004	0.002331	-0.005882	0.016088	0.036459	0.006581	0.019047	-0.005894	0.002209
0.0045	0.000975	-0.004906	-0.070243	0.034036	0.007127	0.020066	-0.007132	0.002378
0.005	-0.001004	-0.001049	-0.117713	0.030273	0.007433	0.017624	-0.007011	0.00412
0.0055	-0.003424	0.001329	-0.119294	0.030425	0.006347	0.012331	-0.007139	0.006408
0.006	-0.004887	0.001016	-0.097277	0.032718	0.004487	0.007091	-0.009788	0.00681
0.0065	-0.004454	0.002226	-0.073998	0.032464	0.002396	0.0041	-0.011864	0.004751
0.007	-0.003251	0.007288	-0.034348	0.030126	0.000511	0.003667	-0.010913	0.003385
0.0075	-0.002911	0.013251	0.037176	0.028583	0.000808	0.005193	-0.009155	0.004464
0.008	-0.00353	0.018017	0.101021	0.029043	0.003644	0.006543	-0.008447	0.006035
0.0085	-0.004269	0.021817	0.114491	0.031468	0.00588	0.00446	-0.008641	0.006206
0.009	-0.004142	0.023261	0.114865	0.031663	0.005192	-0.000871	-0.009488	0.004569
0.0095	-0.003276	0.020072	0.156317	0.023198	0.002962	-0.005676	-0.01106	0.001878
0.01	-0.003746	0.012131	0.190582	0.004457	0.001168	-0.008888	-0.012915	3.4e-05
0.0105	-0.006335	0.003205	0.124181	-0.024171	-0.000449	-0.01196	-0.014123	-0.000988
0.011	-0.008669	-0.001166	-0.022002	-0.062484	-0.002449	-0.014907	-0.014477	-0.002414
0.0115	-0.008462	-0.000476	-0.121235	-0.102476	-0.004245	-0.017083	-0.014401	-0.002711
0.012	-0.006951	-0.000122	-0.106035	-0.126268	-0.005144	-0.018314	-0.014451	-0.000516
0.0125	-0.006647	-0.002943	-0.034421	-0.121263	-0.004023	-0.019214	-0.015221	0.001893
0.013	-0.007181	-0.006424	0.010817	-0.095662	-0.001357	-0.020051	-0.015848	0.001776
0.0135	-0.007644	-0.008373	0.014188	-0.067606	-0.001036	-0.019148	-0.01405	-0.000681
0.014	-0.008753	-0.007932	0.004067	-0.042281	-0.003522	-0.016454	-0.009638	-0.003811
0.0145	-0.010646	-0.004102	-0.00648	-0.012056	-0.003789	-0.018423	-0.005371	-0.005709
0.015	-0.012609	0.001612	-0.021268	0.02566	-0.001092	-0.032083	-0.003582	-0.003993
0.0155	-0.013059	0.005939	-0.032277	0.061435	0.000416	-0.051264	-0.004802	0.000889
0.016	-0.01038	0.007456	-0.030091	0.084638	3.3e-05	-0.059743	-0.007907	0.004603
0.0165	-0.005465	0.007178	-0.031568	0.093046	0.000271	-0.052598	-0.00998	0.003911
0.017	-0.000765	0.007408	-0.05078	0.088618	0.002206	-0.042571	-0.009971	-0.000105
0.0175	0.00184	0.008624	-0.048061	0.070777	0.004384	-0.041914	-0.010724	-0.003861
0.018	0.002191	0.008341	0.025799	0.037703	0.004918	-0.045163	-0.013511	-0.005225
0.0185	0.002537	0.005019	0.13378	-0.007211	0.003909	-0.035423	-0.014912	-0.005077
0.019	0.0049	0.001142	0.180218	-0.050186	0.002536	-0.009321	-0.011703	-0.004983
0.0195	0.007872	0.000675	0.128932	-0.072267	0.001011	0.012618	-0.004805	-0.004921
0.02	0.008258	0.003908	0.016585	-0.066569	-0.000886	0.010435	0.003021	-0.004289
0.0205	0.005425	0.006621	-0.117746	-0.046434	-0.002811	-0.007717	0.009244	-0.003642
0.021	0.002004	0.005385	-0.232217	-0.029744	-0.004191	-0.016192	0.012049	-0.003401
0.0215	6e-05	0.002161	-0.265773	-0.020409	-0.004063	-0.004167	0.012149	-0.003028
0.022	-0.001537	0.00011	-0.211388	-0.009318	-0.001732	0.015935	0.011682	-0.00266
0.0225	-0.003608	-0.001667	-0.151985	0.010436	0.001498	0.028799	0.011984	-0.0029
0.023	-0.003625	-0.004215	-0.153021	0.033754	0.00284	0.032957	0.013432	-0.002823
0.0235	-0.000774	-0.005956	-0.179945	0.0508	0.00096	0.035369	0.014445	-0.000919
0.024	0.001969	-0.006666	-0.170906	0.057317	-0.001771	0.038247	0.011826	0.0017
0.0245	0.002662	-0.00849	-0.121455	0.054887	-0.002308	0.036367	0.004515	0.002689
0.025	0.001391	-0.011325	-0.057569	0.046847	-0.001053	0.025805	-0.004206	0.001519
0.0255	-0.000534	-0.010827	0.014934	0.035289	0.000322	0.011756	-0.009649	-0.000398
0.026	-0.001175	-0.004395	0.097417	0.022627	0.00087	0.003686	-0.009858	0.000511
0.0265	-4.6e-05	0.003861	0.170189	0.012954	0.000392	0.00422	-0.006844	0.004915
0.027	0.001859	0.007063	0.203256	0.008975	0.000614	0.006978	-0.004321	0.007627
0.0275	0.002893	0.003435	0.177864	0.009042	0.002429	0.005667	-0.003605	0.006425
0.028	0.001902	-0.001646	0.095911	0.007175	0.00396	0.000669	-0.003049	0.004645
0.0285	-4.4e-05	-0.004146	-0.00509	0.00018	0.003399	-0.005394	-0.0016	0.005161
0.029	-0.000844	-0.006477	-0.058321	-0.007982	0.000358	-0.0112	-0.000454	0.007826
0.0295	-0.000206	-0.009562	-0.030323	-0.01463	-0.002943	-0.014725	-0.001102	0.009004
0.03	0.000108	-0.009914	0.029799	-0.022014	-0.003113	-0.014848	-0.003007	0.006941
0.0305	-0.001145	-0.00699	0.040335	-0.029497	-0.000851	-0.013879	-0.004395	0.005843
0.031	-0.002222	-0.003509	-0.022119	-0.032648	0.000434	-0.014666	-0.004792	0.007416
0.0315	-0.000322	-0.000853	-0.108695	-0.031401	-0.0004	-0.014952	-0.003982	0.007851
0.032	0.003802	0.000433	-0.157479	-0.030282	-0.002355	-0.009556	-0.000965	0.006437
0.0325	0.006482	0.001007	-0.135041	-0.031452	-0.003729	-0.000419	0.003413	0.00554
0.033	0.005717	0.003537	-0.038207	-0.034586	-0.003134	0.004182	0.006516	0.004618
0.0335	0.002016	0.008802	0.098644	-0.038986	-0.001455	0.00045	0.006438	0.002431
0.034	-0.002245	0.01509	0.200166	-0.045366	-0.0013	-0.006913	0.003462	-0.000385
0.0345	-0.003455	0.02088	0.198731	-0.059165	-0.003316	-0.010268	0.000401	-0.003288
0.035	-0.000723	0.023594	0.098966	-0.083231	-0.005393	-0.008289	-0.000843	-0.0056
0.0355	0.002544	0.020155	-0.026968	-0.107948	-0.00557	-0.006192	-0.001554	-0.006266
0.036	0.00271	0.010292	-0.102025	-0.117894	-0.002907	-0.006852	-0.002945	-0.005036
0.0365	-0.000859	-0.002484	-0.088262	-0.107024	0.001818	-0.008546	-0.004268	-0.002849
0.037	-0.005492	-0.013361	0.000739	-0.080365	0.00433	-0.009629	-0.004157	-0.000808
0.0375	-0.006746	-0.021337	0.104294	-0.041692	0.00138	-0.009669	-0.00207	0.000665
0.038	-0.003408	-0.028277	0.156381	0.008116	-0.003938	-0.007153	0.001461	0.000538
0.0385	-0.000508	-0.033432	0.146565	0.061194	-0.006308	-0.002071	0.006013	-0.000216
0.039	-0.001913	-0.034671	0.12756	0.102413	-0.004073	0.001708	0.0101	0.001341
0.0395	-0.004278	-0.032668	0.151901	0.121173	-0.000312	0.001727	0.010767	0.003455
0.04	-0.004206	-0.030938	0.207698	0.121326	0.000752	-0.000928	0.007601	0.002984
0.0405	-0.003531	-0.031254	0.225624	0.113325	-0.001267	-0.004761	0.002992	0.00185
0.041	-0.004088	-0.030665	0.153613	0.100273	-0.00451	-0.007881	-0.000569	0.002571
0.0415	-0.004481	-0.02663	0.017794	0.081814	-0.006993	-0.008253	-0.001242	0.003379
0.042	-0.002707	-0.020478	-0.100182	0.063011	-0.006317	-0.006395	0.000877	0.001045
0.0425	0.001124	-0.012621	-0.141425	0.048583	-0.003138	-0.004257	0.00407	-0.003462
0.043	0.003697	-0.001358	-0.115433	0.036818	-0.001267	-0.002846	0.006239	-0.005891
0.0435	0.002037	0.013539	-0.071906	0.02445	-0.002727	-0.003187	0.00594	-0.005737
0.044	-0.001051	0.032244	-0.045302	0.010151	-0.00564	-0.005216	0.003805	-0.005958
0.0445	-0.001245	0.053986	-0.034509	-0.005117	-0.006894	-0.007154	0.000683	-0.005992
0.045	0.000149	0.069945	-0.023157	-0.019776	-0.005946	-0.00867	-0.003408	-0.00393
0.0455	-0.000126	0.066563	-0.006777	-0.035475	-0.004639	-0.010803	-0.006612	-0.002312
0.046	-0.002565	0.041915	0.003135	-0.053532	-0.003709	-0.013158	-0.006547	-0.002979
0.0465	-0.005781	0.012339	-0.002244	-0.071682	-0.002228	-0.013172	-0.004126	-0.003245
0.047	-0.006919	-0.003996	-0.016722	-0.08639	-0.000811	-0.009536	-0.002099	-0.001079
0.0475	-0.004083	-0.006308	-0.026826	-0.092436	-0.000784	-0.004898	-0.001325	0.002601
0.048	-0.000158	-0.007299	-0.025645	-0.086501	-0.00151	-0.001961	0.000321	0.005283
0.0485	0.000688	-0.013707	-0.017888	-0.073036	-0.002454	-0.000793	0.00544	0.00507
0.049	-0.000851	-0.019868	-0.011745	-0.058681	-0.003367	-0.000846	0.012528	0.003695
0.0495	-0.001602	-0.019405	-0.008942	-0.042734	-0.003252	-0.00195	0.01636	0.004798
0.05	-0.000543	-0.012636	-0.005998	-0.020917	-0.00252	-0.003589	0.013705	0.007521
0.0505	0.001206	-0.004507	-0.001615	0.004221	-0.002028	-0.004721	0.006466	0.006502
0.051	0.002153	-0.002763	0.00151	0.02432	-0.001008	-0.005141	-2.3e-05	0.001413
0.0515	0.002785	-0.010014	0.000736	0.033477	0.001039	-0.005026	-0.001496	-0.001667
0.052	0.004872	-0.016985	-0.003677	0.033481	0.002744	-0.003632	0.00239	-0.000138
0.0525	0.008705	-0.012828	-0.00801	0.032114	0.002644	-0.001495	0.008341	0.002837
0.053	0.01299	0.003583	-0.007511	0.034697	0.001475	-0.000984	0.011294	0.00377
0.0535	0.015421	0.024795	-0.002952	0.039456	0.001356	-0.002363	0.009049	0.001415
0.054	0.0139	0.038565	-0.001582	0.040583	0.003292	-0.003497	0.004872	-0.003202
0.0545	0.009017	0.034379	-0.007384	0.033733	0.00495	-0.0038	0.003486	-0.006682
0.055	0.00486	0.014791	-0.015546	0.0203	0.003018	-0.004166	0.005644	-0.006096
0.0555	0.00562	-0.004483	-0.02057	0.006861	-0.000585	-0.004453	0.00787	-0.003665
0.056	0.009584	-0.011429	-0.02337	-9.1e-05	-0.000986	-0.003949	0.007437	-0.003874
0.0565	0.010692	-0.009207	-0.027402	0.000925	0.002031	-0.003412	0.005001	-0.006817
0.057	0.007021	-0.007448	-0.033335	0.006755	0.004444	-0.004262	0.002997	-0.009113
0.0575	0.001868	-0.008923	-0.038017	0.013714	0.00388	-0.005425	0.003262	-0.00906
0.058	-0.00165	-0.010261	-0.037335	0.01932	0.002117	-0.004774	0.004841	-0.008348
0.0585	-0.002736	-0.009811	-0.031365	0.020557	0.002081	-0.002342	0.005564	-0.009152
0.059	-0.001867	-0.007761	-0.023816	0.01507	0.004036	0.00068	0.004824	-0.010694
0.0595	-0.000576	-0.001738	-0.016941	0.005865	0.006074	0.002259	0.002738	-0.010302
0.06	-0.000959	0.011995	-0.011077	-0.001069	0.007105	0.00086	0.000229	-0.007512
0.0605	-0.003358	0.029864	-0.005895	-0.00482	0.006638	-0.000831	-0.000455	-0.004648
0.061	-0.006157	0.03849	0.000291	-0.008429	0.004049	0.000791	0.001032	-0.002868
0.0615	-0.007571	0.029389	0.008693	-0.01219	0.000655	0.004253	0.001942	-0.001554
