Time	L_BF	L_GAL	L_TA	L_VL	R_BF	R_GAL	R_TA	R_VL
0	0.006724	-0.002454	0.006659	-0.001759	-0.000262	-0.001533	0.10197	-0.040384
0.0005	0.008267	-0.004698	0.004397	-0.001042	0.002826	-0.00528	0.090222	-0.080523
0.001	0.007534	-0.005984	0.001149	-9.3e-05	0.005008	-0.008941	0.042627	-0.120266
0.0015	0.006091	-0.006528	-0.001082	0.000439	0.005747	-0.012328	-0.000544	-0.152351
0.002	0.005689	-0.006464	-0.000926	0.000671	0.005342	-0.01497	-0.008677	-0.163122
0.0025	0.006325	-0.005683	0.000387	0.000397	0.004345	-0.016601	-0.013877	-0.142147
0.003	0.007269	-0.004827	0.001974	-0.000889	0.002065	-0.017686	-0.036594	-0.095193
0.0035	0.007575	-0.00402	0.00412	-0.001991	-0.002032	-0.017943	-0.058893	-0.043856
0.004	0.007326	-0.003218	0.006093	-0.001653	-0.005789	-0.016505	-0.081527	-0.008194
0.0045	0.00774	-0.003198	0.00582	-0.001065	-0.005581	-0.013855	-0.126905	0.00759
0.005	0.008667	-0.003705	0.002445	-0.001418	-0.001093	-0.011317	-0.181587	0.011872
0.0055	0.007408	-0.003522	-0.001853	-0.001675	0.003275	-0.01042	-0.197085	0.013751
0.006	0.002588	-0.002357	-0.004067	-0.001764	0.004409	-0.01157	-0.155716	0.016726
0.0065	-0.003166	-0.001069	-0.003554	-0.00237	0.003533	-0.012186	-0.095014	0.021385
0.007	-0.006341	-0.000512	-0.001399	-0.002413	0.002824	-0.010271	-0.059563	0.027724
0.0075	-0.005179	-9e-05	0.00167	-0.002397	0.00384	-0.007941	-0.057315	0.033213
0.008	-0.000575	0.001456	0.005529	-0.003991	0.006108	-0.007452	-0.070486	0.037012
0.0085	0.003623	0.003332	0.009845	-0.005343	0.005731	-0.00834	-0.084723	0.044936
0.009	0.004416	0.003513	0.012991	-0.004088	0.000553	-0.009362	-0.095495	0.060944
0.0095	0.00363	0.002714	0.013387	-0.001838	-0.005234	-0.008675	-0.098054	0.076259
0.01	0.004363	0.002967	0.012257	-0.000621	-0.00741	-0.004436	-0.08226	0.076881
0.0105	0.006257	0.003497	0.011452	0.000207	-0.007526	0.002936	-0.042903	0.060554
0.011	0.007648	0.002981	0.010073	0.001032	-0.007798	0.010512	0.006082	0.03755
0.0115	0.008015	0.002665	0.006459	0.001793	-0.008149	0.013678	0.037737	0.018944
0.012	0.007837	0.004209	0.000953	0.002194	-0.008384	0.010297	0.037455	0.007328
0.0125	0.008169	0.006484	-0.004192	0.000142	-0.007586	0.005035	0.016299	-0.002819
0.013	0.009127	0.006109	-0.007671	-0.003342	-0.005325	0.004798	-0.003929	-0.013798
0.0135	0.009871	0.002167	-0.011039	-0.0036	-0.003932	0.009438	-0.011934	-0.021132
0.014	0.009557	-0.002056	-0.013688	-0.000417	-0.004927	0.007027	-0.010995	-0.022756
0.0145	0.00782	-0.003548	-0.011779	0.001898	-0.005745	-0.016375	-0.008545	-0.021768
0.015	0.005341	-0.002722	-0.006525	0.001568	-0.004291	-0.05532	-0.007641	-0.020299
0.0155	0.003317	-0.001135	-0.003708	0.000173	-0.002989	-0.081602	-0.007673	-0.017742
0.016	0.002505	0.001196	-0.005486	-0.001385	-0.004336	-0.072276	-0.007096	-0.013526
0.0165	0.002746	0.003721	-0.010479	-0.002824	-0.006186	-0.036382	-0.003939	-0.007186
0.017	0.003978	0.004429	-0.017463	-0.003626	-0.005255	-0.004156	0.002369	0.000248
0.0175	0.005775	0.002809	-0.024436	-0.003933	-0.002714	0.006481	0.009162	0.005604
0.018	0.006125	-6e-06	-0.027573	-0.003585	-0.001551	0.002297	0.013888	0.007176
0.0185	0.004738	-0.002238	-0.024528	-0.002789	-0.001694	-0.001476	0.018406	0.005188
0.019	0.003759	-0.00239	-0.017472	-0.002311	-0.002112	0.001898	0.025436	0.00123
0.0195	0.003489	-0.000925	-0.011356	-0.001541	-0.002728	0.009238	0.032658	-0.001897
0.02	0.002873	0.000764	-0.009205	-0.00018	-0.002781	0.0145	0.036507	-0.002317
0.0205	0.002757	0.002061	-0.009408	0.000676	-0.001055	0.013854	0.038963	-0.000694
0.021	0.004398	0.002866	-0.00884	0.001549	0.001644	0.006873	0.043273	0.000103
0.0215	0.006926	0.00307	-0.006718	0.00386	0.002387	-0.002281	0.047787	-0.001076
0.022	0.008691	0.002809	-0.004128	0.006209	0.00069	-0.005887	0.050436	-0.002115
0.0225	0.008816	0.002262	-0.002844	0.006837	-0.000429	-0.001383	0.053999	-0.000217
0.023	0.007867	0.00187	-0.004066	0.006403	0.000542	0.004494	0.06236	0.005692
0.0235	0.007736	0.002327	-0.006448	0.005737	0.001728	0.005581	0.074236	0.011324
0.024	0.008313	0.002703	-0.006699	0.005949	0.001	0.003153	0.083428	0.010066
0.0245	0.007437	0.001455	-0.002706	0.007266	-0.001046	0.000852	0.084605	0.002292
0.025	0.005384	-0.000445	0.003202	0.006868	-0.001902	1.7e-05	0.077527	-0.005437
0.0255	0.004226	-0.000752	0.006029	0.003825	-0.000477	0.000106	0.064133	-0.009367
0.026	0.003386	0.000657	0.005058	0.001208	0.001386	0.000399	0.043807	-0.010798
0.0265	0.001382	0.002135	0.003644	0.000453	0.001431	0.00128	0.017653	-0.012223
0.027	-0.000514	0.002563	0.003124	2.4e-05	0.000315	0.00325	-0.007042	-0.015539
0.0275	-0.001299	0.001443	0.003319	-0.000641	0.000142	0.0055	-0.02435	-0.021156
0.028	-0.001272	-0.000238	0.004587	-0.001264	0.002168	0.006581	-0.037752	-0.028007
0.0285	-0.000143	-0.000367	0.006336	-0.002036	0.00699	0.005478	-0.053954	-0.034131
0.029	0.000924	0.000359	0.007692	-0.001561	0.012887	0.002218	-0.065218	-0.034859
0.0295	0.000706	-3.4e-05	0.009191	2.6e-05	0.015904	-0.000885	-0.047157	-0.027059
0.03	-6.5e-05	-0.00042	0.011428	-0.000643	0.014193	-0.000692	0.007553	-0.017064
0.0305	-0.001225	0.000579	0.013045	-0.003226	0.009848	0.001967	0.061817	-0.014238
0.031	-0.002149	0.001746	0.012554	-0.004654	0.006113	0.003791	0.070415	-0.018264
0.0315	-0.001459	0.00256	0.009716	-0.004949	0.004847	0.003933	0.042987	-0.021716
0.032	-0.000479	0.003974	0.0027	-0.004808	0.005788	0.002962	0.036959	-0.020268
0.0325	-0.001186	0.005207	-0.009584	-0.003768	0.006534	0.001406	0.077589	-0.015258
0.033	-0.002482	0.004918	-0.022497	-0.002392	0.005385	0.000679	0.120225	-0.011877
0.0335	-0.002306	0.003681	-0.030259	-0.002019	0.004001	0.002007	0.114553	-0.014323
0.034	-0.001043	0.002002	-0.032576	-0.001658	0.004346	0.003785	0.073877	-0.019572
0.0345	-0.000942	0.000121	-0.032932	-5e-06	0.005563	0.002994	0.048069	-0.021294
0.035	-0.002189	-0.000263	-0.032541	0.000944	0.005988	-0.000148	0.054004	-0.01848
0.0355	-0.002107	0.001439	-0.028893	0.000568	0.005108	-0.002993	0.068459	-0.014543
0.036	0.000181	0.002693	-0.020855	0.001333	0.003366	-0.003854	0.070494	-0.011803
0.0365	0.002571	0.001377	-0.010058	0.003305	0.002104	-0.002547	0.060468	-0.00962
0.037	0.003525	-0.000944	0.006438	0.003884	0.002452	-0.000634	0.048305	-0.006051
0.0375	0.002909	-0.001547	0.038298	0.002031	0.003521	0.000454	0.041473	-0.001169
0.038	0.001306	-0.000243	0.08584	-0.001246	0.004107	0.0021	0.041654	0.001723
0.0385	-0.000314	0.001196	0.126119	-0.004542	0.004547	0.006712	0.045089	0.000666
