Time	L_BF	L_GAL	L_TA	L_VL	R_BF	R_GAL	R_TA	R_VL
0	-0.042892	0.000952	-0.01726	0.016165	-0.002779	-0.026111	-0.004604	-0.001652
0.0005	-0.050493	0.000934	-0.030679	0.011469	-0.002318	-0.053164	-0.001745	-0.002331
0.001	-0.013844	0.005398	-0.048379	0.005367	-0.002887	-0.071719	-0.000353	-0.00412
0.0015	0.046702	0.012385	-0.080649	0.000603	-0.003925	-0.072557	0.000347	-0.006986
0.002	0.078563	0.018503	-0.125253	-0.001407	-0.00263	-0.064052	0.001882	-0.009933
0.0025	0.066586	0.022408	-0.156643	-0.003137	0.00086	-0.066632	0.003599	-0.0112
0.003	0.041816	0.022323	-0.153981	-0.008318	0.002248	-0.078717	0.003071	-0.009944
0.0035	0.035113	0.01667	-0.132736	-0.018567	2.8e-05	-0.072521	0.000169	-0.007793
0.004	0.045336	0.007942	-0.125908	-0.030481	-0.002929	-0.032418	-0.002407	-0.00682
0.0045	0.052976	0.00069	-0.137481	-0.039134	-0.004529	0.019418	-0.00302	-0.007028
0.005	0.048848	-0.00408	-0.136978	-0.043545	-0.004585	0.047847	-0.002436	-0.007776
0.0055	0.039573	-0.007605	-0.096565	-0.045132	-0.003212	0.044945	-0.001939	-0.008234
0.006	0.03312	-0.009942	-0.021934	-0.042689	-0.001667	0.029845	-0.001619	-0.005972
0.0065	0.031264	-0.009819	0.046677	-0.034588	-0.001249	0.017776	-0.000838	-0.001299
0.007	0.032454	-0.006709	0.069423	-0.024141	-0.001695	0.008069	0.000562	0.001481
0.0075	0.032902	-0.003522	0.056847	-0.015759	-0.002602	-0.002182	0.002006	0.001347
0.008	0.027469	-0.003049	0.064733	-0.010248	-0.003397	-0.009882	0.00254	0.001534
0.0085	0.014979	-0.003511	0.11197	-0.00676	-0.003286	-0.01304	0.002166	0.003164
0.009	0.000632	-0.002677	0.13774	-0.004827	-0.002099	-0.01464	0.001448	0.004122
0.0095	-0.008619	-0.001439	0.086501	-0.003787	-0.000446	-0.01678	-0.000167	0.00415
0.01	-0.007311	-0.000427	-0.003408	-0.002202	9e-06	-0.017835	-0.00222	0.004967
0.0105	0.006088	0.000955	-0.054141	0.000246	-0.001081	-0.016262	-0.002493	0.005907
0.011	0.023437	0.001765	-0.059059	0.00202	-0.001267	-0.013196	-0.001333	0.005975
0.0115	0.032264	0.001421	-0.075192	0.00112	0.001215	-0.010241	-0.00124	0.005435
0.012	0.030219	0.001385	-0.123262	-0.001982	0.004603	-0.007957	-0.002278	0.004546
0.0125	0.025014	0.002951	-0.160053	-0.00383	0.006	-0.007018	-0.003379	0.004295
0.013	0.02142	0.006217	-0.146263	-0.004703	0.004984	-0.006866	-0.005058	0.003539
0.0135	0.015826	0.009012	-0.087385	-0.007965	0.003269	-0.005591	-0.007457	0.001147
0.014	0.005498	0.008697	-0.007115	-0.011478	0.002095	-0.003603	-0.009217	0.001002
0.0145	-0.003667	0.006131	0.075988	-0.011668	0.001015	-0.002918	-0.009508	0.004463
0.015	-0.005542	0.004372	0.135967	-0.010307	-8.8e-05	-0.003337	-0.008643	0.006558
0.0155	-0.003559	0.004821	0.133771	-0.008684	-0.000425	-0.003108	-0.007157	0.005199
0.016	-0.004968	0.005977	0.052057	-0.005809	-0.000619	-0.001765	-0.005811	0.003413
0.0165	-0.009761	0.005877	-0.067025	-0.003663	-0.001156	-0.000838	-0.005451	0.002911
0.017	-0.012726	0.003995	-0.147221	-0.003456	-0.001128	-0.002161	-0.006695	0.003367
0.0175	-0.01256	0.000745	-0.153849	-0.002525	0.000138	-0.004634	-0.00859	0.004725
0.018	-0.011278	-0.002159	-0.119633	4.3e-05	0.003176	-0.004772	-0.008915	0.005567
0.0185	-0.009774	-0.003441	-0.08418	0.003019	0.006906	-0.002339	-0.008229	0.003741
0.019	-0.008507	-0.004082	-0.051166	0.005061	0.00803	-0.000611	-0.008339	-0.000162
0.0195	-0.008816	-0.005099	-0.033249	0.000471	0.005149	-0.000937	-0.008091	-0.003225
0.02	-0.012296	-0.005624	-0.075755	-0.018863	0.000513	-0.001758	-0.006415	-0.003073
0.0205	-0.018954	-0.004003	-0.165308	-0.049722	-0.002585	-0.001434	-0.004423	-0.000224
0.021	-0.025601	-0.001237	-0.179784	-0.072847	-0.002309	1.7e-05	-0.002418	0.001973
0.0215	-0.028458	-0.000613	-0.046261	-0.071475	0.000335	0.001875	0.000449	0.000954
0.022	-0.028121	-0.002943	0.100003	-0.046559	0.002505	0.004283	0.003428	-0.001895
0.0225	-0.027544	-0.006066	0.057779	-0.008589	0.002572	0.006843	0.004081	-0.003236
0.023	-0.026354	-0.007679	-0.164503	0.031394	0.001482	0.007659	0.000986	-0.002499
0.0235	-0.023265	-0.006505	-0.352553	0.061283	0.001117	0.00618	-0.004946	-0.001463
0.024	-0.020015	-0.002659	-0.347755	0.070937	0.001193	0.004628	-0.010956	-0.000969
0.0245	-0.018573	0.001452	-0.176838	0.060111	-0.000577	0.004371	-0.013489	-0.001424
0.025	-0.018977	0.002959	0.066878	0.040008	-0.003463	0.004473	-0.011079	-0.003489
0.0255	-0.020653	0.002296	0.337161	0.02268	-0.003379	0.0048	-0.006713	-0.005753
0.026	-0.022964	0.001751	0.599981	0.012805	0.000665	0.005906	-0.004242	-0.004881
0.0265	-0.025173	0.00177	0.784613	0.011817	0.005187	0.007185	-0.003724	-0.00161
0.027	-0.027186	0.000842	0.82411	0.020953	0.007015	0.007774	-0.002634	-0.001047
0.0275	-0.029895	-0.001954	0.706596	0.038224	0.006137	0.007744	0.000356	-0.00426
0.028	-0.033474	-0.00477	0.47222	0.057785	0.004653	0.008138	0.002935	-0.006956
0.0285	-0.035513	-0.005739	0.199274	0.074186	0.003738	0.009312	0.002088	-0.006219
0.029	-0.03315	-0.00561	-0.009917	0.086724	0.002884	0.010263	-0.000459	-0.004142
0.0295	-0.027035	-0.005007	-0.091969	0.095069	0.001488	0.010626	-0.001072	-0.004111
0.03	-0.020709	-0.003322	-0.0845	0.092547	-0.000347	0.0106	-0.000136	-0.005734
0.0305	-0.016302	-0.000351	-0.072292	0.07323	-0.001665	0.009882	-0.000269	-0.007258
0.031	-0.013691	0.003084	-0.076104	0.043865	-0.002055	0.008445	-0.001538	-0.008217
0.0315	-0.012595	0.005862	-0.057978	0.019383	-0.002399	0.006981	-0.001011	-0.007202
0.032	-0.012306	0.008442	-0.015741	0.007396	-0.003292	0.006769	0.002892	-0.004322
0.0325	-0.011953	0.010989	0.010346	0.004731	-0.004708	0.008397	0.006962	-0.003427
0.033	-0.011567	0.010472	0.012501	0.006148	-0.006202	0.010278	0.007192	-0.005755
0.0335	-0.010361	0.005168	0.016993	0.007235	-0.00662	0.010529	0.004071	-0.007242
0.034	-0.006718	-0.001393	0.016613	0.002476	-0.005591	0.009298	0.000899	-0.005674
0.0345	-0.002314	-0.004562	-0.024833	-0.009237	-0.004386	0.007319	0.000245	-0.003405
0.035	-0.001978	-0.003431	-0.099626	-0.021124	-0.003826	0.005106	0.003314	-0.002063
0.0355	-0.00613	-0.001069	-0.152497	-0.026928	-0.003247	0.004396	0.008653	-0.001826
0.036	-0.010004	-0.000426	-0.154294	-0.026841	-0.002839	0.005841	0.011396	-0.002694
0.0365	-0.010998	-0.000605	-0.129665	-0.026111	-0.004027	0.007019	0.009092	-0.003436
0.037	-0.0096	-0.000181	-0.111251	-0.029985	-0.005615	0.006392	0.005213	-0.003757
0.0375	-0.00726	-0.001536	-0.103407	-0.036348	-0.00473	0.004506	0.002746	-0.004001
0.038	-0.005438	-0.006	-0.094905	-0.039194	-0.002147	0.001012	0.001615	-0.003682
0.0385	-0.003944	-0.008873	-0.083274	-0.037296	-0.000103	-0.003626	0.001387	-0.00333
0.039	-0.002956	-0.005757	-0.074462	-0.032775	0.001426	-0.006206	0.000724	-0.003607
0.0395	-0.004142	0.000775	-0.070896	-0.027686	0.002406	-0.005271	-0.000156	-0.004492
0.04	-0.006781	0.005477	-0.072004	-0.023073	0.002638	-0.002896	0.001955	-0.006122
0.0405	-0.007485	0.006357	-0.079129	-0.017793	0.003155	-0.000336	0.006352	-0.007543
0.041	-0.005011	0.003825	-0.092593	-0.010054	0.003668	0.00219	0.008145	-0.005984
0.0415	-0.000885	-0.000318	-0.107526	-0.001379	0.00248	0.003699	0.006507	-0.001253
0.042	0.00295	-0.00259	-0.115046	0.004086	6e-06	0.003777	0.004163	0.001418
0.0425	0.003889	-0.001662	-0.107015	0.006312	-0.001672	0.002171	0.002026	-0.000212
0.043	5.6e-05	-0.000285	-0.078537	0.008136	-0.001144	-0.000554	0.000185	-0.001213
0.0435	-0.006653	-0.000965	-0.028448	0.008383	0.00084	-0.001701	0.000495	0.00128
0.044	-0.012018	-0.003128	0.034301	0.005335	0.001798	0.000517	0.004805	0.004951
0.0445	-0.014486	-0.005108	0.085955	0.001091	0.00155	0.00488	0.010949	0.007289
0.045	-0.015662	-0.006361	0.101904	-0.002206	0.00223	0.008567	0.013204	0.006732
0.0455	-0.015791	-0.007263	0.081114	-0.00429	0.003877	0.009598	0.00774	0.003449
0.046	-0.013897	-0.007914	0.050333	-0.005796	0.004106	0.007991	-0.003378	0.000482
0.0465	-0.011438	-0.007332	0.03827	-0.008881	0.00261	0.005331	-0.012791	-0.000347
0.047	-0.010992	-0.005306	0.05094	-0.016197	0.002357	0.004074	-0.014211	0.000134
0.0475	-0.012696	-0.004602	0.071158	-0.029219	0.004091	0.004751	-0.009115	0.002174
0.048	-0.014734	-0.007934	0.07214	-0.049648	0.005518	0.005358	-0.003184	0.006132
0.0485	-0.016211	-0.014155	0.040077	-0.078436	0.005663	0.005255	0.001688	0.011253
0.049	-0.016333	-0.018794	-0.008212	-0.109384	0.00524	0.005211	0.006329	0.016128
0.0495	-0.013522	-0.017909	-0.043602	-0.126879	0.005622	0.005133	0.009	0.01782
0.05	-0.008811	-0.011788	-0.06073	-0.117224	0.006947	0.00537	0.007407	0.015668
0.0505	-0.005318	-0.004462	-0.076852	-0.08448	0.007168	0.006735	0.003297	0.013362
0.051	-0.00414	-0.000828	-0.097925	-0.047191	0.005733	0.007802	0.000194	0.01433
0.0515	-0.003989	-0.003274	-0.109607	-0.016781	0.004776	0.006635	-0.000563	0.017639
0.052	-0.002909	-0.009621	-0.105623	0.010889	0.004624	0.004944	-0.000244	0.019138
0.0525	-7.9e-05	-0.014824	-0.102059	0.041794	0.002573	0.005609	-0.001728	0.018047
0.053	0.003282	-0.014264	-0.109684	0.07332	-0.001116	0.008006	-0.005962	0.017288
0.0535	0.005106	-0.007834	-0.108781	0.098653	-0.002607	0.008753	-0.009826	0.016972
0.054	0.004867	0.000393	-0.072829	0.112268	-0.001288	0.005831	-0.009858	0.015336
0.0545	0.004629	0.009569	-0.008668	0.111616	0.000652	0.001545	-0.006197	0.013079
0.055	0.006064	0.021627	0.047473	0.098697	0.002272	-0.000425	-0.001984	0.012699
0.0555	0.008655	0.030725	0.06256	0.079121	0.003769	0.000586	0.000437	0.014221
0.056	0.011274	0.026031	0.013173	0.060302	0.005158	0.003313	0.001108	0.014414
0.0565	0.011664	0.008964	-0.117382	0.049061	0.005691	0.00542	0.000418	0.013484
0.057	0.008151	-0.004745	-0.309188	0.045333	0.005758	0.004298	-0.001713	0.014412
0.0575	0.003482	-0.003882	-0.493538	0.040613	0.006564	0.001045	-0.003973	0.015038
0.058	0.001226	0.006041	-0.616527	0.028057	0.007573	-0.001043	-0.003422	0.011912
0.0585	0.000655	0.013913	-0.683685	0.011319	0.007529	-0.001387	-8e-06	0.007403
0.059	-0.000491	0.018576	-0.676084	-0.000159	0.005987	-0.001055	0.002767	0.005142
0.0595	-0.002504	0.023938	-0.468881	-0.000667	0.003412	-0.000594	0.003474	0.004266
0.06	-0.004749	0.027395	0.040757	0.007763	0.000828	-0.000906	0.003013	0.002563
0.0605	-0.006103	0.02484	0.703995	0.015754	-0.000393	-0.002863	0.002458	-9.2e-05
0.061	-0.005792	0.018957	1.133785	0.015355	0.000101	-0.005211	0.003969	-0.002217
0.0615	-0.004603	0.014509	1.04854	0.009818	0.000355	-0.0054	0.008262	-0.001361
0.062	-0.002464	0.012252	0.580976	0.007159	-0.001084	-0.003547	0.012615	0.00175
0.0625	0.001522	0.010211	0.154063	0.009866	-0.002887	-0.002407	0.013725	0.001843
0.063	0.00516	0.006446	0.042671	0.016287	-0.003493	-0.002852	0.009323	-0.003059
0.0635	0.004892	0.000596	0.156018	0.023492	-0.004081	-0.003437	0.000176	-0.009023
0.064	0.001459	-0.005126	0.256677	0.025664	-0.006525	-0.003354	-0.00785	-0.014651
0.0645	-0.001532	-0.00741	0.242408	0.01839	-0.009013	-0.002796	-0.009451	-0.022839
0.065	-0.003481	-0.005866	0.160753	0.005807	-0.00801	-0.002154	-0.007048	-0.032354
0.0655	-0.005447	-0.002962	0.083987	-0.005057	-0.003973	-0.001076	-0.008463	-0.038233
0.066	-0.006129	-0.00053	0.045612	-0.012867	-0.000911	0.001114	-0.019494	-0.038756
0.0665	-0.004306	0.000229	0.033671	-0.019007	-0.001381	0.003118	-0.039648	-0.035947
0.067	-0.000904	-0.000564	0.015755	-0.023281	-0.004009	0.002873	-0.061428	-0.034226
0.0675	0.002686	-0.000737	-0.007198	-0.025436	-0.005614	0.00088	-0.072464	-0.036423
0.068	0.00493	-0.000619	-0.000397	-0.026344	-0.004883	-0.000632	-0.064486	-0.038578
