Time	RASISX	RASISY	RASISZ	LASISX	LASISY	LASISZ	RPSISX	RPSISY	RPSISZ	LPSISX	LPSISY	LPSISZ	RTROCX	RTROCY	RTROCZ	LTROCX	LTROCY	LTROCZ	RTH1X	RTH1Y	RTH1Z	RLKX	RLKY	RLKZ	RMKX	RMKY	RMKZ	RSK1X	RSK1Y	RSK1Z	RLAX	RLAY	RLAZ	RMAX	RMAY	RMAZ	RFM1X	RFM1Y	RFM1Z	RFM2X	RFM2Y	RFM2Z	RFM5X	RFM5Y	RFM5Z	LTH1X	LTH1Y	LTH1Z	LLKX	LLKY	LLKZ	LMKX	LMKY	LMKZ	LSK1X	LSK1Y	LSK1Z	LLAX	LLAY	LLAZ	LMAX	LMAY	LMAZ	LFM1X	LFM1Y	LFM1Z	LFM2X	LFM2Y	LFM2Z	LFM5X	LFM5Y	LFM5Z
0	639.161	-1323.496	934.606	387.146	-1350.298	944.975	580.807	-1511.007	973.238	494.567	-1526.52	974.341	678.179	-1424.944	873.999	347.412	-1437.383	879.869	587.521	-1307.142	711.997	644.417	-1420.065	452.192	537.769	-1446.644	448.288	666.229	-1514.063	204.292	632.857	-1573.932	48.897	544.817	-1551.882	55.93	558.76	-1401.678	-3.344	613.581	-1402.108	14.705	671.03	-1444.4	-9.62	394.06	-1260.095	711.925	323.828	-1291.003	494.725	438.688	-1253.396	475.162	292.079	-1229.786	240.606	304.883	-1164.706	77.008	392.022	-1149.686	100.067	366.804	-995.594	80.541	308.881	-987.251	112.24	268.593	-1027.093	63.019
0.005	638.771	-1317.553	933.785	386.529	-1343.428	944.019	579.318	-1504.951	971.963	492.986	-1520.164	973.095	677.306	-1419.306	873.051	346.714	-1430.494	878.447	587.616	-1301.581	710.849	644.059	-1416.659	451.45	537.151	-1443.5	447.294	666.041	-1512.676	204.359	632.85	-1573.752	49.332	544.796	-1551.47	56.022	558.792	-1401.534	-3.32	613.694	-1401.953	14.471	671.107	-1444.395	-9.731	394.318	-1254.958	709.481	322.701	-1284.836	494.114	438.269	-1248.604	473.848	290.406	-1219.972	240.603	303.104	-1152.84	77.812	390.383	-1138.465	101.465	364.983	-983.477	83.867	306.731	-975.645	115.462	266.823	-1014.981	65.344
0.01	638.242	-1311.369	932.504	385.908	-1336.588	942.707	577.787	-1498.751	970.866	491.505	-1513.533	971.866	676.481	-1413.287	871.943	345.728	-1424.071	876.932	587.445	-1295.762	709.426	643.677	-1413.168	450.73	536.316	-1439.663	446.935	665.679	-1511.141	204.211	632.799	-1573.729	49.7	544.719	-1550.961	56.174	558.89	-1401.324	-3.226	613.829	-1401.752	14.28	671.253	-1444.337	-9.824	394.727	-1249.422	707.32	321.613	-1278.315	493.186	437.567	-1243.543	472.53	288.614	-1210.865	240.48	301.535	-1141.593	78.324	388.759	-1127.342	102.364	363.041	-972.009	87.058	304.686	-964.881	118.053	265.294	-1003.23	67.288
0.015	637.913	-1305.289	931.886	385.218	-1329.906	941.691	576.413	-1492.575	969.666	490.005	-1507.105	970.626	675.49	-1408.064	871.256	344.622	-1417.27	875.648	587.524	-1290.2	708.296	643.168	-1409.518	449.832	535.748	-1435.796	445.86	665.401	-1509.632	204.253	632.892	-1573.31	50.08	544.705	-1550.393	56.266	558.999	-1401.1	-3.18	614.038	-1401.504	13.877	671.377	-1444.261	-9.891	395.462	-1243.55	705.562	320.625	-1271.331	492.428	436.731	-1238.185	471.591	286.949	-1202.021	240.328	300.045	-1130.658	78.765	387.243	-1117.27	103.499	362.023	-961.189	90.084	302.951	-954.394	120.161	263.994	-992.509	68.487
0.02	637.393	-1299.136	930.679	384.501	-1323.158	940.475	575.005	-1486.423	968.387	488.593	-1500.798	969.513	674.621	-1401.54	869.527	340.262	-1408.399	875.706	587.434	-1284.361	706.911	642.611	-1405.873	449.303	534.98	-1431.632	444.717	665.043	-1508.185	204.259	633.06	-1572.908	50.474	544.617	-1550.28	56.756	559.209	-1400.936	-3.209	614.171	-1401.314	13.65	671.48	-1444.266	-9.987	396.367	-1237.28	704.328	319.422	-1264.726	491.421	435.78	-1232.706	470.875	285.408	-1193.502	239.892	298.621	-1120.673	78.763	385.747	-1107.565	103.58	360.821	-951.526	92.32	301.695	-945.155	122.151	262.888	-981.986	69.803
0.025	636.741	-1293.081	930.057	384.435	-1317.021	939.056	573.736	-1480.306	967.153	487.333	-1494.514	968.341	673.733	-1395.608	868.406	339.154	-1401.645	874.856	587.27	-1278.718	705.803	642.012	-1401.97	448.21	534.22	-1427.133	444.251	664.861	-1506.413	204.668	633.135	-1572.415	50.885	544.513	-1549.803	57.099	559.318	-1400.82	-3.157	614.339	-1401.102	13.401	671.543	-1444.239	-10.091	397.433	-1230.648	703.455	318.333	-1257.817	490.349	434.561	-1226.837	470.032	284.044	-1185.791	239.306	297.083	-1111.61	78.639	384.497	-1099.122	103.593	359.817	-942.711	93.824	300.888	-935.944	123.344	262.004	-972.445	70.902
0.03	635.951	-1287.04	929.002	383.096	-1309.886	938.152	572.359	-1474.123	965.872	485.979	-1488.141	966.982	673.015	-1389.887	867.31	338.019	-1394.644	873.419	587.155	-1272.845	704.459	641.467	-1397.926	447.428	533.438	-1423.391	442.641	664.483	-1504.897	204.725	633.269	-1571.902	51.344	544.526	-1549.354	57.424	559.4	-1400.63	-3.167	614.493	-1400.926	13.242	671.618	-1444.198	-10.19	398.545	-1223.742	702.925	317.158	-1251.256	489.548	433.311	-1220.839	469.224	282.807	-1177.972	238.525	295.826	-1102.916	78.307	383.21	-1090.838	103.109	359.536	-934.455	94.608	300.5	-927.857	124.173	261.294	-963.818	71.451
0.035	635.366	-1280.71	928.138	382.892	-1303.74	936.708	571.082	-1468.028	964.66	484.645	-1481.852	965.774	672.174	-1384.161	866.304	336.83	-1387.832	872.576	586.891	-1267.165	703.314	640.872	-1393.742	446.571	532.693	-1418.483	442.246	664.045	-1502.753	204.975	633.36	-1571.425	51.717	544.503	-1548.726	57.868	559.468	-1400.586	-3.212	614.62	-1400.756	13.114	671.709	-1444.161	-10.238	399.207	-1216.793	703.125	315.98	-1244.046	488.575	431.959	-1214.442	468.515	281.829	-1170.689	237.538	294.614	-1095.19	77.443	381.964	-1083.72	101.951	359.271	-927.43	94.645	300.509	-920.258	124.557	260.722	-955.764	71.46
0.04	634.452	-1274.439	926.887	381.396	-1296.545	935.922	569.773	-1461.828	963.506	483.347	-1475.623	964.419	671.427	-1378.168	864.983	335.593	-1380.768	871.241	586.538	-1261.045	702.094	640.22	-1389.507	445.479	531.911	-1413.317	441.195	663.452	-1501.089	204.966	633.444	-1570.865	52.42	544.438	-1548.133	58.293	559.569	-1400.453	-3.169	614.809	-1400.603	12.997	671.797	-1444.155	-10.308	399.392	-1209.451	703.291	314.784	-1236.888	488.08	430.495	-1207.368	468.055	280.743	-1164.019	236.382	293.446	-1088.185	76.833	380.929	-1077.11	100.955	359.306	-920.771	93.66	300.71	-913.283	124.131	260.438	-948.542	71.116
0.045	633.765	-1268.318	926.126	380.932	-1290.438	934.482	568.525	-1455.662	962.391	482.07	-1469.372	963.233	670.586	-1373.019	864.353	334.4	-1373.926	870.313	586.163	-1255.053	701.107	639.583	-1385.125	444.684	530.903	-1408.163	440.345	662.959	-1498.886	205.158	633.447	-1570.255	53.096	544.268	-1547.393	58.811	559.66	-1400.412	-3.182	614.898	-1400.473	12.876	671.802	-1444.175	-10.338	399.078	-1201.919	703.903	313.57	-1229.345	487.134	429.018	-1199.995	467.259	279.931	-1157.341	235.185	292.311	-1081.982	75.655	379.968	-1070.765	99.437	359.392	-914.603	92.027	300.783	-907.087	122.845	260.102	-941.988	70.247
