Time	RASISX	RASISY	RASISZ	LASISX	LASISY	LASISZ	RPSISX	RPSISY	RPSISZ	LPSISX	LPSISY	LPSISZ	RTROCX	RTROCY	RTROCZ	LTROCX	LTROCY	LTROCZ	RTH1X	RTH1Y	RTH1Z	RLKX	RLKY	RLKZ	RMKX	RMKY	RMKZ	RSK1X	RSK1Y	RSK1Z	RLAX	RLAY	RLAZ	RMAX	RMAY	RMAZ	RFM1X	RFM1Y	RFM1Z	RFM2X	RFM2Y	RFM2Z	RFM5X	RFM5Y	RFM5Z	LTH1X	LTH1Y	LTH1Z	LLKX	LLKY	LLKZ	LMKX	LMKY	LMKZ	LSK1X	LSK1Y	LSK1Z	LLAX	LLAY	LLAZ	LMAX	LMAY	LMAZ	LFM1X	LFM1Y	LFM1Z	LFM2X	LFM2Y	LFM2Z	LFM5X	LFM5Y	LFM5Z
0	651.852	-1278.596	917.156	397.335	-1286.98	924.65	578.044	-1465.2	954.342	491.351	-1469.963	950.68	686.483	-1388.653	858.424	351.541	-1365.092	856.972	615.872	-1257.613	696.195	669.161	-1390.799	435.028	554.273	-1395.467	423.849	680.148	-1572.171	240.891	653.852	-1681.511	112.696	568.493	-1647.804	106.782	584.061	-1541.868	-2.779	640.463	-1542.894	7.374	688.702	-1596.93	-10.101	420.196	-1186.742	697.834	366.869	-1216.831	475.424	479.819	-1193.907	466.871	356.084	-1172.618	213.512	382.107	-1128.222	49.129	469.612	-1117.823	74.271	465.43	-972.94	22.928	407.34	-951.525	49.899	364.457	-997.287	8.038
0.005	650.496	-1271.397	917.689	396.385	-1280.061	925.041	576.862	-1458.201	954.255	490.092	-1463.546	950.888	685.263	-1380.616	858.036	349.985	-1358.17	857.583	614.475	-1248.652	697.209	669.061	-1378.856	434.628	554.07	-1382.698	422.391	680.155	-1563.757	244.475	654.615	-1676.468	118.583	569.5	-1641.725	111.52	583.746	-1541.654	-3.955	640.187	-1542.241	7.195	688.35	-1596.188	-9.426	419.047	-1179.964	698.186	365.84	-1209.793	476.449	480.658	-1188.479	467.472	354.422	-1166.128	214.527	381.714	-1127.393	48.022	469.762	-1117.605	72.912	466.453	-972.568	20.257	408.268	-950.064	46.874	365.043	-996.589	5.977
0.01	649.635	-1264.821	917.165	395.259	-1273.319	925.814	575.758	-1451.371	954.056	488.989	-1457.01	951.444	684.275	-1373.114	858.089	348.063	-1351.378	858.134	613.065	-1239.686	697.704	669.091	-1365.821	434.323	554.716	-1368.918	420.418	680.179	-1554.914	248.073	654.885	-1669.405	125.107	570.299	-1634.861	115.833	582.737	-1541.478	-4.924	639.741	-1541.657	7.043	688.077	-1595.409	-8.122	418.398	-1173.519	699.269	364.991	-1202.102	477.89	480.785	-1183.214	468.675	353.702	-1160.803	215.01	381.213	-1127.087	47.72	469.606	-1117.623	71.942	466.658	-971.651	18.009	408.487	-949.064	44.297	365.095	-995.824	3.849
0.015	648.406	-1257.922	918.055	394.222	-1266.9	926.781	574.805	-1444.565	954.122	488.089	-1450.53	951.93	683.214	-1365.256	857.825	346.667	-1345.434	859.58	611.289	-1230.744	698.75	668.992	-1352.83	434.032	553.96	-1355.953	419.879	680.112	-1545.424	251.833	654.897	-1662.968	130.466	571.073	-1627.585	120.587	582.091	-1541.013	-5.853	639.05	-1541.114	7.021	687.688	-1594.569	-6.756	418.135	-1167.336	700.223	364.412	-1193.706	479.267	480.901	-1177.551	470.443	353.117	-1156.253	215.229	380.711	-1126.669	48.184	469.195	-1116.104	72.709	466.553	-971.249	16.232	408.26	-948.283	41.953	364.72	-995.208	2.874
0.02	646.78	-1251.038	918.748	393.028	-1260.673	927.783	574.042	-1437.714	954.35	487.267	-1443.959	952.536	682.502	-1357.425	857.737	345.227	-1339.386	860.892	609.732	-1221.845	699.809	669.077	-1339.925	434.156	554.079	-1342.211	418.647	680.077	-1535.389	255.72	655.162	-1655.301	136.774	571.86	-1619.494	125.026	581.619	-1540.261	-6.632	638.441	-1540.551	7.162	687.318	-1593.792	-5.061	418.198	-1161.285	701.538	364.082	-1185.093	480.638	480.343	-1171.622	472.47	352.198	-1152.468	215.836	380.376	-1126.131	48.818	468.717	-1115.794	72.693	466.376	-970.553	14.554	408.064	-947.39	40.014	364.259	-994.878	2.433
0.025	644.906	-1244.181	919.333	391.954	-1254.455	928.966	573.371	-1431.029	954.554	486.656	-1437.498	953.132	681.767	-1349.83	857.796	344.148	-1333.577	862.312	608.231	-1213.216	701.004	669.072	-1326.882	433.796	554.105	-1328.157	417.858	680.172	-1524.854	259.43	655.244	-1646.898	142.963	572.357	-1610.022	129.262	581.186	-1538.832	-6.907	637.725	-1539.7	7.927	686.886	-1592.405	-3.147	418.839	-1155.074	703.021	364.202	-1176.212	481.259	479.666	-1165.019	474.896	351.521	-1149.018	216.732	380.035	-1125.246	49.047	468.309	-1113.576	74.073	466.285	-970.383	12.386	407.942	-946.39	38.269	363.572	-994.379	1.794
0.03	643.025	-1236.635	920.453	390.6	-1248.453	930.047	572.802	-1424.354	954.991	485.428	-1433.091	954.965	680.848	-1342.049	857.772	343.444	-1327.692	863.621	606.329	-1204.254	702.032	668.91	-1313.169	433.582	554.079	-1314.063	417.389	680.33	-1514.224	263.677	655.451	-1638.246	149.064	572.866	-1601.144	133.862	580.959	-1536.794	-6.948	637.054	-1537.679	9.172	686.51	-1590.858	-0.21	419.972	-1148.855	704.8	364.045	-1168.115	482.393	479.257	-1156.327	476.623	350.967	-1145.839	217.368	379.913	-1123.827	48.593	468.103	-1112.303	74.187	466.415	-969.918	10.676	407.901	-945.567	36.278	363.103	-993.976	1.481
0.035	640.991	-1230.188	921.242	388.952	-1242.349	931.404	572.251	-1417.87	955.43	484.971	-1426.67	955.493	679.921	-1334.405	857.756	342.684	-1321.968	865.002	604.826	-1195.487	703.461	668.686	-1299.512	433.373	554.131	-1299.526	417.024	680.376	-1502.767	267.494	655.353	-1629.299	155.453	573	-1592.35	138.998	580.921	-1534.671	-6	636.751	-1534.728	10.746	685.938	-1588.752	3.66	421.483	-1142.49	706.765	363.598	-1161.069	483.11	476.852	-1151.137	477.592	350.605	-1142.741	217.534	379.818	-1122.684	48.419	468.151	-1111.184	74.189	467.113	-969.756	9.459	408.441	-944.727	34.573	363.045	-993.489	1.331
0.04	639.44	-1223.522	922.37	387.303	-1235.944	932.605	571.784	-1411.337	956.079	484.434	-1420.247	956.407	679.182	-1326.726	857.881	342.022	-1316.068	866.433	603.36	-1186.738	705.154	668.558	-1287.022	433.173	554.001	-1285.351	416.906	680.275	-1491.262	271.269	655.287	-1620.217	162.134	573.111	-1583.144	144.091	581.092	-1532.321	-4.311	636.641	-1531.586	12.472	685.491	-1586.614	8.726	422.89	-1136.38	708.803	362.947	-1154.778	483.114	475.352	-1143.987	478.571	350.117	-1139.897	217.542	380.058	-1121.628	48.11	468.468	-1110.634	73.921	467.812	-969.353	7.346	409.642	-944.234	33.498	363.377	-993.112	1.399
0.045	637.769	-1216.985	922.753	385.786	-1229.903	933.325	571.364	-1405.032	956.582	483.819	-1413.942	957.079	678.36	-1319.225	857.941	342.016	-1310.385	867.04	601.778	-1178.043	706.39	668.274	-1273.519	433.521	555.121	-1269.606	416.477	679.883	-1479.624	274.583	655.071	-1610.776	168.348	572.951	-1573.816	149.403	581.246	-1529.755	-2.171	636.816	-1527.909	14.739	684.984	-1583.849	13.962	424.054	-1130.391	710.693	362.149	-1149.755	483.382	473.587	-1137.852	478.06	349.945	-1137.275	217.313	380.34	-1120.921	48.07	468.847	-1110.318	73.692	468.183	-969.184	5.763	411.223	-943.89	32.372	363.709	-992.842	1.566
