Time	RASISX	RASISY	RASISZ	LASISX	LASISY	LASISZ	RPSISX	RPSISY	RPSISZ	LPSISX	LPSISY	LPSISZ	RTROCX	RTROCY	RTROCZ	LTROCX	LTROCY	LTROCZ	RTH1X	RTH1Y	RTH1Z	RLKX	RLKY	RLKZ	RMKX	RMKY	RMKZ	RSK1X	RSK1Y	RSK1Z	RLAX	RLAY	RLAZ	RMAX	RMAY	RMAZ	RFM1X	RFM1Y	RFM1Z	RFM2X	RFM2Y	RFM2Z	RFM5X	RFM5Y	RFM5Z	LTH1X	LTH1Y	LTH1Z	LLKX	LLKY	LLKZ	LMKX	LMKY	LMKZ	LSK1X	LSK1Y	LSK1Z	LLAX	LLAY	LLAZ	LMAX	LMAY	LMAZ	LFM1X	LFM1Y	LFM1Z	LFM2X	LFM2Y	LFM2Z	LFM5X	LFM5Y	LFM5Z
0	559.222	-1306.95	947.822	309.536	-1331.645	958.35	498.075	-1494.058	995.263	411.181	-1506.948	995.745	595.632	-1410.356	890.688	263.592	-1411.024	897.71	513.508	-1277.379	732.929	560.796	-1362.875	465.97	453.878	-1370.329	459.582	565.493	-1430.228	210.67	524.527	-1461.014	47.499	440.222	-1426.868	63.313	457.004	-1275.018	-0.301	515.858	-1285.558	18.742	566.399	-1328.98	-11.422	325.357	-1225.662	737.955	263.38	-1268.781	505.251	374.897	-1221.905	497.54	275.103	-1342.739	250.636	315.062	-1370.889	85.256	394.431	-1331.428	106.697	358.382	-1214.521	8.199	295.164	-1202.274	32.237	266.833	-1267.164	5.917
0.005	559.055	-1302.306	947.353	309.454	-1326.249	958.172	497.492	-1489.179	995.092	410.599	-1501.747	995.635	595.305	-1406.317	890.807	263.038	-1404.641	897.9	513.638	-1273.245	732.086	560.516	-1360.301	465.656	453.536	-1367.886	459.439	565.34	-1429.168	210.636	524.398	-1460.77	47.622	440.088	-1426.661	63.166	457.024	-1274.954	-0.262	515.759	-1285.149	18.581	566.446	-1328.971	-11.521	325.765	-1220.149	737.751	264.186	-1263.2	504.685	375.574	-1217.256	497.431	273.851	-1329.93	247.903	312.834	-1353.082	80.642	392.923	-1315.763	103.686	357.667	-1194.643	8.297	294.582	-1182.191	32.683	265.253	-1246.175	4.938
0.01	558.941	-1297.848	947.055	309.284	-1320.784	957.893	496.893	-1484.198	994.948	409.957	-1496.575	995.397	593.685	-1401.17	889.549	262.768	-1399.047	897.508	513.655	-1268.853	731.659	560.255	-1357.735	465.425	453.256	-1364.942	458.545	565.154	-1427.97	210.667	524.27	-1460.598	47.631	439.938	-1426.414	63.072	457.047	-1274.968	-0.298	515.747	-1284.989	18.418	566.489	-1328.957	-11.529	325.947	-1214.936	737.5	264.897	-1257.968	504.234	376.334	-1212.75	497.298	272.477	-1316.876	245.221	310.363	-1334.954	77.257	391.095	-1298.157	100.092	357.08	-1174.82	9.244	294.176	-1162.473	33.799	264.345	-1225.151	4.169
0.015	558.956	-1293.049	946.36	308.724	-1314.753	957.754	496.253	-1479.245	994.821	409.335	-1491.242	995.226	593.298	-1396.761	889.276	262.319	-1393.48	897.192	513.562	-1264.59	730.356	560.084	-1355.259	465.195	453.113	-1362.243	458.091	565.008	-1426.781	210.758	524.153	-1460.414	47.743	439.779	-1426	62.759	457.255	-1275.239	-0.402	515.686	-1285.024	18.122	566.559	-1328.939	-11.591	326.312	-1209.745	737.092	265.678	-1253.003	503.665	377.086	-1208.583	496.871	271.446	-1303.509	242.664	307.857	-1316.524	73.697	388.963	-1281.387	97.831	356.503	-1155.193	10.167	293.91	-1142.632	35.314	263.361	-1203.944	3.879
0.02	558.766	-1288.256	945.695	308.694	-1309.098	957.009	495.638	-1474.19	994.625	408.692	-1485.904	994.996	592.85	-1392.32	889.045	261.811	-1388.217	896.896	513.735	-1260.122	729.94	559.777	-1352.282	464.321	452.852	-1359.329	457.694	564.739	-1425.601	210.624	524.02	-1460.195	47.885	439.647	-1425.811	62.67	457.096	-1275.019	-0.451	515.685	-1284.866	17.991	566.603	-1328.885	-11.67	326.664	-1204.719	736.571	266.525	-1248.025	503.06	378.169	-1204.407	495.913	270.157	-1290.634	240.449	305.467	-1297.754	70.814	386.939	-1264.8	95.48	356.27	-1135.645	11.562	293.746	-1122.991	37.154	262.19	-1183.019	4.128
0.025	558.678	-1283.45	945.711	308.385	-1303.535	956.636	494.976	-1469.091	994.396	408.016	-1480.625	994.817	592.398	-1387.757	888.703	261.476	-1383.061	896.688	513.605	-1255.753	729.311	559.619	-1350.329	463.655	452.526	-1356.462	457.181	564.569	-1424.415	210.529	523.872	-1459.983	48.037	439.649	-1425.442	62.596	457.346	-1275.498	-0.203	515.734	-1284.799	17.878	566.634	-1328.8	-11.701	327	-1199.856	735.727	267.22	-1243.374	502.57	379.043	-1200.561	495.285	268.735	-1277.816	238.539	302.96	-1279.398	68.293	385.324	-1248.363	93.545	355.748	-1116.348	13.242	293.736	-1103.395	39.409	261.332	-1162.068	4.862
0.03	558.845	-1279.18	944.339	308.088	-1298.072	956.305	494.246	-1463.92	994.066	407.425	-1475.071	994.528	591.924	-1383.168	888.405	261.015	-1377.195	895.761	513.687	-1251.426	728.165	559.374	-1347.769	463.365	452.124	-1353.644	456.732	564.436	-1423.136	210.603	523.769	-1459.732	48.185	439.679	-1425.081	62.523	457.055	-1275.131	-0.693	515.764	-1284.738	17.808	566.684	-1328.941	-11.583	327.285	-1195.064	734.527	268.076	-1238.455	501.585	380.124	-1196.691	494.383	267.577	-1265.018	236.74	300.748	-1261.041	66.321	383.356	-1230.991	92.191	355.366	-1097.113	15.146	293.823	-1083.993	42.023	260.366	-1141.255	5.839
0.035	558.977	-1273.953	943.28	307.708	-1292.292	955.75	493.587	-1458.775	993.743	406.687	-1469.485	994.106	591.509	-1378.541	888.129	260.454	-1371.944	895.31	513.687	-1246.983	727.447	559.093	-1344.892	462.934	451.692	-1350.85	456.461	564.266	-1421.897	210.898	523.612	-1459.361	48.329	438.961	-1425.306	62.685	457.024	-1275.046	-0.773	515.768	-1284.641	17.684	566.693	-1328.798	-11.75	327.599	-1190.437	733.476	268.844	-1233.976	500.962	380.909	-1193.108	493.227	266.402	-1252.317	235.395	298.443	-1242.738	64.609	381.729	-1214.546	90.937	355.306	-1078.173	17.644	294.048	-1065.076	44.813	259.861	-1120.895	7.268
0.04	558.373	-1268.781	944.08	307.534	-1286.596	954.956	492.934	-1453.564	993.424	405.97	-1463.873	993.758	591.06	-1373.858	887.683	260.079	-1366.332	894.592	513.598	-1242.642	726.452	558.755	-1341.937	462.019	451.472	-1347.731	455.651	564.11	-1421.309	210.531	523.475	-1459.106	48.417	438.802	-1425.017	62.573	457.229	-1274.82	-0.906	515.832	-1284.443	17.489	566.734	-1328.742	-11.778	327.868	-1185.825	731.857	269.583	-1229.19	499.956	381.92	-1189.657	491.915	265.149	-1239.923	234.229	296.303	-1224.599	63.094	379.74	-1197.995	89.795	355.189	-1059.818	20.926	294.176	-1046.225	48.142	259.382	-1100.785	8.969
0.045	558.923	-1263.131	942.906	307.131	-1280.704	954.286	492.215	-1448.232	993.059	405.141	-1457.649	992.951	590.545	-1369.066	887.237	259.663	-1360.835	893.726	513.471	-1237.946	725.804	558.478	-1339.07	461.79	451.296	-1344.718	455.101	563.9	-1419.871	210.341	523.342	-1458.804	48.51	438.575	-1424.7	62.536	457.25	-1274.701	-1.028	515.847	-1284.295	17.363	566.769	-1328.699	-11.825	328.233	-1181.386	730.283	270.214	-1224.63	499.09	382.625	-1186.478	490.266	264.143	-1227.657	233.209	294.283	-1207.185	62.709	378.287	-1181.876	89.492	355.171	-1041.455	24.13	294.286	-1027.962	51.689	258.574	-1080.268	11.506
