Time	RASISX	RASISY	RASISZ	LASISX	LASISY	LASISZ	RPSISX	RPSISY	RPSISZ	LPSISX	LPSISY	LPSISZ	RTROCX	RTROCY	RTROCZ	LTROCX	LTROCY	LTROCZ	RTH1X	RTH1Y	RTH1Z	RLKX	RLKY	RLKZ	RMKX	RMKY	RMKZ	RSK1X	RSK1Y	RSK1Z	RLAX	RLAY	RLAZ	RMAX	RMAY	RMAZ	RFM1X	RFM1Y	RFM1Z	RFM2X	RFM2Y	RFM2Z	RFM5X	RFM5Y	RFM5Z	LTH1X	LTH1Y	LTH1Z	LLKX	LLKY	LLKZ	LMKX	LMKY	LMKZ	LSK1X	LSK1Y	LSK1Z	LLAX	LLAY	LLAZ	LMAX	LMAY	LMAZ	LFM1X	LFM1Y	LFM1Z	LFM2X	LFM2Y	LFM2Z	LFM5X	LFM5Y	LFM5Z
0	576.231	-1455.83	941.24	326.329	-1474.347	952.08	511.461	-1639.927	984.771	424.678	-1653.059	986.142	608.82	-1558.323	880.367	278.076	-1553.863	890.331	528.267	-1425.027	722.993	568.812	-1528.798	456.671	461.935	-1538.088	452.474	573.912	-1612.091	205.759	532.674	-1656.873	45.736	446.663	-1625.901	60.806	458.885	-1475.577	-4.046	516.791	-1481.849	13.55	570.031	-1525.216	-13.796	339.719	-1369.155	732.781	269.581	-1406.359	501.27	380.968	-1361.282	489.875	265.776	-1457.807	241.077	296.61	-1472.387	70.863	378.953	-1440.558	92.477	350.994	-1314.327	3.348	289.642	-1298.805	29.037	255.424	-1359.237	-1.079
0.005	577.279	-1450.86	939.925	325.768	-1468.813	951.483	510.653	-1634.861	984.439	424.011	-1647.806	985.713	608.306	-1553.784	880.003	277.73	-1548.465	889.426	528.182	-1421.411	721.994	568.762	-1526.368	456.192	461.903	-1535.632	451.956	573.97	-1611.034	205.731	532.623	-1656.677	45.9	446.608	-1625.638	60.763	458.729	-1475.263	-4.273	516.837	-1481.801	13.543	570.109	-1525.222	-13.851	339.788	-1364.087	731.973	270.412	-1401.448	499.988	381.617	-1357.044	489.165	264.309	-1445.32	238.68	294.07	-1454.582	67.5	377.127	-1423.094	89.872	350.397	-1295.59	4.358	289.3	-1279.911	30.47	254.376	-1338.912	-1.341
0.01	575.754	-1446.386	939.794	325.24	-1463.346	950.873	509.958	-1629.913	983.991	423.236	-1642.392	985.272	607.863	-1549.33	879.609	277.221	-1543.147	888.653	527.975	-1417.23	721.284	568.544	-1523.629	455.282	461.725	-1533.155	451.547	573.937	-1610.023	205.689	532.636	-1656.428	45.942	446.79	-1625.203	60.632	458.72	-1475.207	-4.298	516.985	-1481.574	13.264	570.194	-1525.157	-13.884	339.715	-1359.134	730.722	271.143	-1396.92	499.019	382.357	-1352.779	488.004	263.141	-1432.79	236.309	291.675	-1436.737	64.745	375.063	-1406.942	87.651	350.004	-1276.72	5.526	289.288	-1260.998	32.219	253.286	-1318.927	-1.155
0.015	575.474	-1441.67	939.029	324.898	-1457.64	949.965	509.254	-1624.883	983.506	422.716	-1632.738	982.419	607.374	-1544.765	879.095	276.631	-1537.753	887.859	527.897	-1413.4	720.529	568.439	-1521.391	454.963	461.594	-1530.622	450.898	573.928	-1608.29	205.956	532.57	-1656.178	46.016	446.463	-1625.36	61.026	458.535	-1475.224	-4.229	516.959	-1481.538	13.138	570.24	-1525.173	-13.975	339.654	-1354.213	729.626	271.83	-1392.205	497.51	382.875	-1349.375	486.858	261.813	-1420.558	234.455	289.223	-1418.894	62.367	373.291	-1390.889	85.734	349.471	-1257.95	7.076	289.131	-1242.302	34.195	252.494	-1299.007	-0.369
0.02	576.15	-1436.6	937.863	324.462	-1452.17	949.04	508.628	-1621.639	983.335	421.919	-1627.33	981.963	607.002	-1540.202	878.64	276.188	-1532.156	886.834	527.693	-1409.457	719.268	568.252	-1518.985	454.709	461.665	-1528.004	450.27	573.889	-1607.13	206.017	532.472	-1655.99	46.205	446.358	-1625.101	61.017	458.589	-1475.144	-4.262	517.043	-1481.373	12.984	570.308	-1525.006	-14.269	339.691	-1349.363	728.094	272.002	-1387.713	496.836	383.877	-1345.745	485.478	260.479	-1408.318	232.635	286.988	-1401.169	60.312	371.352	-1374.589	83.95	349.029	-1239.43	8.778	288.934	-1223.753	36.764	251.441	-1278.913	0.564
0.025	574.917	-1431.942	937.691	324.085	-1446.408	948.262	507.886	-1616.814	983.061	421.099	-1621.852	981.353	606.561	-1535.714	878.3	275.655	-1526.738	886.272	527.538	-1405.275	718.627	568.061	-1516.355	453.975	461.765	-1525.278	449.572	573.768	-1605.911	205.994	532.433	-1655.698	46.434	446.275	-1624.839	61.048	458.715	-1474.968	-4.38	517.066	-1481.231	12.851	570.376	-1524.982	-14.244	339.523	-1344.635	726.618	272.62	-1383.069	495.387	384.71	-1342.275	483.814	259.458	-1396.111	231.221	284.783	-1383.479	58.864	369.796	-1358.234	82.525	348.356	-1221.117	10.955	288.82	-1205.415	39.472	250.472	-1258.753	2.627
0.03	574.859	-1427.062	937.218	323.904	-1440.626	947.24	507.176	-1612.029	982.78	420.293	-1616.315	980.694	606.176	-1531.018	877.85	275.128	-1521.151	885.07	527.473	-1401.006	717.447	567.89	-1513.802	453.278	461.609	-1522.771	449.116	573.576	-1604.743	205.655	532.301	-1655.43	46.528	446.141	-1624.648	61.131	458.718	-1474.875	-4.445	517.139	-1481.081	12.671	570.376	-1524.952	-14.281	339.815	-1339.833	724.753	273.021	-1378.673	494.445	385.57	-1338.828	481.929	258.282	-1384.263	230.081	282.873	-1366.069	57.888	368.112	-1342.474	81.722	348.354	-1203.209	13.827	288.7	-1187.445	42.558	249.86	-1239.431	4.541
0.035	575.423	-1421.9	936.214	323.592	-1434.734	946.43	506.456	-1607.124	982.528	419.488	-1610.673	979.954	605.852	-1526.371	877.395	274.566	-1515.613	884.368	527.317	-1397.04	716.658	567.803	-1511.243	452.813	461.68	-1520.04	448.186	573.358	-1603.444	205.333	532.226	-1655.177	46.854	446.044	-1624.364	61.111	458.738	-1474.804	-4.517	517.191	-1480.944	12.554	570.46	-1524.935	-14.327	339.778	-1335.248	722.94	273.424	-1374.054	492.977	386.473	-1335.747	480.192	257.095	-1372.47	229.048	281.023	-1348.811	57.256	366.478	-1326.508	81.115	348.401	-1185.584	16.005	288.385	-1169.655	45.82	248.962	-1220.305	6.811
0.04	574.403	-1417.137	935.951	323.132	-1428.724	945.458	505.678	-1602.151	981.889	418.658	-1605.07	979.237	605.418	-1521.683	876.818	274.2	-1509.95	883.302	527.229	-1392.707	715.543	567.641	-1508.63	452.339	460.875	-1517.902	447.819	573.141	-1602.106	205.293	532.101	-1654.923	46.999	445.862	-1624.091	61.128	458.707	-1474.816	-4.458	517.167	-1480.768	12.424	570.496	-1524.918	-14.394	339.774	-1330.654	720.845	273.563	-1369.534	491.941	387.592	-1332.709	478.506	256.553	-1360.494	227.885	279.442	-1331.698	56.784	365.393	-1310.733	81.351	347.999	-1168.259	18.726	288.2	-1152.276	49.121	248.588	-1201.691	9.394
0.045	575.014	-1411.989	934.333	322.768	-1422.798	944.582	504.788	-1596.85	981.202	417.804	-1599.393	978.53	604.959	-1516.937	876.335	273.652	-1504.056	882.269	527.048	-1387.99	714.974	566.852	-1503.977	452.768	460.307	-1515.538	447.72	572.937	-1600.805	205.167	532.002	-1654.754	47.285	445.689	-1623.785	61.223	458.856	-1474.772	-4.343	517.25	-1480.627	12.246	570.493	-1524.962	-14.374	339.881	-1326.079	718.404	273.727	-1365.023	490.827	388.367	-1329.581	476.564	255.485	-1348.95	227.2	278.008	-1314.778	56.935	363.844	-1295.579	81.493	347.451	-1150.846	22.321	288.921	-1134.855	53.457	248.199	-1183.647	12.123
