Time	L_BF	L_VL	R_BF	R_VL
0.000000	-0.003867	0.004804	-0.003303	-0.003146
0.000500	-0.009412	-0.004019	0.004071	-0.006458
0.001000	-0.002064	0.000297	-0.004411	-0.002646
0.001500	0.000676	0.004129	-0.002896	0.000360
0.002000	0.005345	-0.003596	-0.008902	0.000783
0.002500	-0.004169	-0.005744	0.001409	0.005098
0.003000	0.001238	-0.006856	-0.001249	0.004457
0.003500	-0.002462	-0.001097	-0.004030	0.002219
0.004000	-0.001689	0.001065	-0.001626	0.005255
0.004500	0.002359	-0.000715	-0.006229	-0.001701
0.005000	0.006620	-0.001440	0.012451	-0.008421
0.005500	-0.000063	0.004166	0.000374	-0.003144
0.006000	0.014055	-0.001454	0.007520	0.001072
0.006500	0.005163	0.006247	0.004526	-0.003315
0.007000	0.007167	0.005484	-0.004868	0.000776
0.007500	0.002499	-0.000077	-0.000951	-0.003695
0.008000	0.002820	0.002717	0.001430	-0.000354
0.008500	0.002250	0.005491	-0.007787	0.007130
0.009000	0.003675	-0.001419	-0.003403	-0.005602
0.009500	0.001750	0.003501	-0.012733	-0.005077
0.010000	0.004564	0.003821	0.001248	-0.012273
0.010500	0.003145	0.004469	0.000226	0.006128
0.011000	-0.000536	0.005814	-0.000603	0.006479
0.011500	-0.004629	0.006505	-0.003153	0.009289
0.012000	0.003290	-0.002584	-0.004847	-0.003325
0.012500	0.000963	0.003062	-0.005304	-0.000111
0.013000	-0.000840	0.003299	0.003452	0.002720
0.013500	-0.001223	-0.008300	0.012524	-0.000845
0.014000	-0.000699	0.000848	-0.001519	-0.001718
0.014500	-0.000237	0.001180	0.001614	0.000135
0.015000	0.002098	0.001587	0.003847	0.007985
0.015500	0.000514	0.007274	-0.001214	-0.002689
0.016000	0.007668	-0.007867	-0.004367	0.001596
0.016500	0.000634	0.002650	0.003068	0.001292
0.017000	0.017699	-0.002130	0.002982	-0.004602
0.017500	0.001651	0.000597	-0.005861	0.000957
0.018000	-0.004907	0.002158	0.001444	0.001962
0.018500	-0.002211	0.002447	0.006505	-0.010473
0.019000	0.003466	0.000582	0.012619	0.008483
0.019500	-0.006992	-0.001224	-0.001442	0.006916
0.020000	-0.005654	0.000923	-0.000212	0.000990
0.020500	0.005000	-0.004232	0.000403	-0.002045
0.021000	0.004743	0.005421	-0.002413	0.002750
0.021500	-0.002925	-0.001412	-0.003725	-0.008586
0.022000	0.000215	-0.004863	-0.003590	-0.002507
0.022500	-0.010201	-0.001205	-0.001202	0.005360
0.023000	-0.010812	0.000113	0.002008	0.000182
0.023500	-0.004208	0.001508	-0.008499	-0.001191
0.024000	-0.000306	0.008329	-0.004258	0.007871
0.024500	0.004563	-0.007642	0.005873	0.003628
0.025000	0.001888	-0.003497	-0.001867	-0.002208
0.025500	0.004763	0.009200	-0.003011	0.002501
0.026000	0.009623	0.005149	-0.006252	-0.008221
0.026500	-0.008096	-0.001572	-0.004058	0.004592
0.027000	-0.005729	-0.006620	-0.000762	0.001784
0.027500	-0.002917	0.012157	-0.005160	0.004970
0.028000	-0.002929	0.013998	-0.003019	0.004886
0.028500	-0.001464	-0.005269	0.009613	0.001794
0.029000	0.001910	0.002842	0.003511	-0.001652
0.029500	-0.004366	-0.001966	-0.001475	-0.001973
0.030000	0.005201	-0.001474	-0.001475	-0.001888
0.030500	-0.000622	0.006441	-0.000799	0.004365
0.031000	0.000864	-0.011911	0.001609	0.005845
0.031500	0.001236	-0.006291	-0.000545	0.006250
0.032000	0.003703	-0.002133	-0.001448	0.002077
0.032500	0.002254	0.006119	-0.003943	-0.003288
0.033000	-0.003099	0.001464	0.008068	-0.006622
0.033500	-0.000915	0.004083	-0.012100	0.000994
0.034000	0.006129	-0.000071	-0.010472	0.000469
0.034500	-0.010215	-0.000047	0.006599	0.007516
0.035000	-0.001004	0.003872	-0.000840	0.001673
0.035500	-0.004560	0.000740	0.012588	-0.003720
0.036000	-0.004586	-0.007610	-0.003491	0.006324
0.036500	0.011098	0.012152	-0.002671	-0.005897
0.037000	-0.004198	-0.006798	0.006158	-0.000711
0.037500	0.001042	0.008412	-0.001701	0.007788
0.038000	-0.003225	-0.006039	-0.000851	0.006108
0.038500	-0.002070	0.004026	0.000264	0.005473
0.039000	-0.005606	0.000811	-0.010046	0.007848
0.039500	0.000897	0.006452	0.004732	0.003900
0.040000	-0.001788	-0.002213	0.002623	0.000471
0.040500	0.002152	0.001008	0.002773	-0.000904
0.041000	0.000353	-0.008645	0.001379	-0.000540
0.041500	-0.004808	-0.010713	-0.002255	-0.003171
0.042000	0.002498	0.006795	-0.005269	0.007576
0.042500	0.007495	0.001893	0.000761	-0.001472
0.043000	-0.006022	0.001629	-0.008554	-0.000811
0.043500	-0.001054	-0.013040	-0.000242	-0.001130
0.044000	0.002104	-0.000261	-0.001147	0.007861
0.044500	0.002033	-0.006758	-0.000277	-0.010555
0.045000	0.006348	-0.000895	0.006201	0.002046
0.045500	-0.001720	-0.001194	0.000287	-0.005110
0.046000	-0.001406	0.002206	-0.002534	0.001560
0.046500	0.008470	0.001522	-0.004134	0.000582
0.047000	-0.003623	0.002092	-0.004862	-0.003281
0.047500	-0.004794	0.000223	-0.012834	-0.010043
0.048000	0.000627	0.005346	0.004976	0.005488
0.048500	0.002559	-0.005133	-0.009608	0.000828
0.049000	0.010497	-0.003287	0.000817	-0.005564
0.049500	-0.000881	0.010283	0.002717	0.004963
0.050000	-0.006472	0.001056	0.000478	0.000284
0.050500	0.004135	-0.002807	0.003600	-0.000848
0.051000	0.001265	-0.003648	0.004592	0.006620
0.051500	0.004708	0.001680	-0.001405	-0.002485
0.052000	0.001588	0.004697	-0.000092	0.009199
0.052500	-0.000297	-0.006945	0.004499	-0.001058
0.053000	-0.012914	0.000159	-0.011863	0.004975
