Time	L_BF	L_VL	R_BF	R_VL
0.000000	0.002934	0.006475	0.002905	0.006921
0.000500	-0.000773	0.007274	-0.012086	0.006367
0.001000	0.008047	-0.008432	0.003272	0.007654
0.001500	-0.000108	0.004624	0.001396	-0.002682
0.002000	0.002527	-0.002282	0.000620	0.003460
0.002500	-0.000742	0.003306	0.003809	-0.005915
0.003000	0.001764	0.006501	-0.000581	0.000227
0.003500	0.011351	0.000583	0.001202	0.004747
0.004000	0.008830	0.002493	-0.000203	-0.009264
0.004500	-0.005795	0.002879	-0.004284	0.003969
0.005000	-0.001077	0.002961	0.006628	0.000696
0.005500	-0.001000	-0.000672	0.001893	-0.004744
0.006000	0.002170	-0.004171	0.002213	0.015139
0.006500	0.005607	-0.002020	-0.008705	-0.004240
0.007000	-0.002272	-0.000428	0.003222	-0.006726
0.007500	0.000263	0.004625	-0.001150	-0.010037
0.008000	-0.001702	-0.008147	0.004164	0.010692
0.008500	0.006308	-0.001683	0.003749	-0.002700
0.009000	-0.004450	0.000412	0.006052	0.000729
0.009500	0.002390	0.012938	-0.002293	0.004290
0.010000	0.002654	0.002218	0.002758	0.003311
0.010500	0.011463	-0.002148	0.002336	0.002818
0.011000	-0.001715	-0.007463	-0.007678	0.006084
0.011500	-0.000385	0.006185	0.001833	-0.000785
0.012000	0.002808	0.007089	0.000830	-0.001670
0.012500	0.007569	-0.002405	0.001779	0.004909
0.013000	0.000146	0.004444	0.000346	0.004355
0.013500	0.001808	-0.000467	-0.006688	-0.003974
0.014000	-0.003148	-0.000783	-0.004856	-0.001279
0.014500	0.006243	-0.004387	-0.005590	0.009355
0.015000	0.002431	-0.001690	-0.005108	-0.007858
0.015500	0.000821	0.000373	-0.004272	-0.003549
0.016000	0.000741	-0.004733	0.007992	0.004312
0.016500	0.006702	0.000422	0.010586	-0.011421
0.017000	-0.006836	-0.006080	-0.004044	0.006668
0.017500	-0.001047	0.006652	0.003330	-0.008672
0.018000	0.007558	-0.002226	-0.003757	0.004453
0.018500	-0.002777	0.004007	-0.003966	0.000008
0.019000	0.006432	-0.002767	-0.002290	-0.004332
0.019500	-0.003345	-0.000842	-0.000560	0.001901
0.020000	0.002244	0.002251	0.000778	-0.001493
0.020500	0.004573	0.005136	-0.003492	0.002943
0.021000	-0.004853	-0.011872	-0.004536	0.003507
0.021500	-0.008486	0.002470	-0.001861	-0.004827
0.022000	0.006769	-0.001641	-0.010648	0.005599
0.022500	0.003596	0.008580	0.005253	-0.003630
0.023000	0.006530	-0.001912	-0.002876	0.009479
0.023500	-0.004726	0.002742	-0.006875	0.003506
0.024000	0.002962	-0.008892	-0.003407	-0.000328
0.024500	0.001755	0.001906	0.003906	0.000375
0.025000	0.013703	-0.001927	-0.006263	-0.002887
