Time	RASISX	RASISY	RASISZ	LASISX	LASISY	LASISZ
0.000	577.755	627.548	613.058	568.118	619.497	607.586
0.005	576.947	627.424	612.917	567.962	619.922	606.862
0.010	576.855	625.722	612.627	567.690	619.704	606.788
0.015	577.291	626.040	612.418	567.873	620.289	606.502
0.020	577.550	626.586	613.494	568.242	619.463	606.221
0.025	576.961	625.809	612.621	567.980	618.986	607.352
0.030	578.957	627.044	613.432	568.077	619.292	606.797
0.035	577.849	626.564	613.653	568.453	619.641	607.178
0.040	578.290	625.786	612.894	568.137	619.260	607.280
0.045	576.631	626.781	612.838	568.178	620.477	607.102
0.050	577.428	626.307	612.312	567.880	621.144	606.694
0.055	578.163	626.005	612.329	567.679	619.757	607.042
0.060	577.874	627.406	612.907	567.829	619.878	608.057
0.065	578.012	626.679	612.648	568.149	620.029	606.078
0.070	577.274	626.544	612.224	568.112	620.000	606.364
0.075	577.083	626.487	612.662	568.317	620.501	606.247
0.080	577.565	625.932	613.042	566.227	620.764	607.097
0.085	577.396	626.430	613.293	568.429	620.104	606.343
0.090	577.509	626.887	613.213	567.504	621.137	606.590
0.095	578.116	627.037	612.200	567.405	619.993	606.599
0.100	578.075	627.438	613.087	567.409	620.508	606.550
0.105	577.678	627.680	612.301	567.535	620.797	606.295
0.110	577.107	625.799	611.983	568.424	619.243	606.291
0.115	577.123	627.069	612.632	567.418	620.949	606.642
0.120	577.667	626.183	612.553	567.561	621.858	606.453
0.125	577.279	626.682	612.033	567.609	621.019	606.791
0.130	577.886	626.903	612.258	568.124	621.031	606.201
0.135	578.502	626.790	612.851	567.343	621.953	606.840
0.140	578.457	626.391	612.430	567.969	619.924	606.535
0.145	577.796	626.218	611.976	567.994	621.932	607.333
0.150	578.442	627.328	613.079	568.305	620.337	607.244
0.155	578.017	626.788	612.503	567.932	621.941	605.954
0.160	578.149	627.332	611.082	568.242	621.874	606.755
0.165	578.146	626.833	611.665	567.814	621.901	606.726
0.170	578.562	627.130	612.995	568.427	622.297	606.329
0.175	577.864	626.113	612.613	569.120	621.793	606.048
