Time	RASISX	RASISY	RASISZ	LASISX	LASISY	LASISZ
0.000	665.817	596.129	593.939	591.228	629.076	549.390
0.005	665.291	596.459	593.448	591.545	628.968	548.906
0.010	665.843	596.360	593.512	590.620	627.927	549.141
0.015	665.954	595.799	593.232	592.069	628.800	549.335
0.020	665.499	596.205	594.000	590.722	628.321	549.091
0.025	666.003	595.907	594.192	591.694	628.920	549.766
0.030	665.809	596.993	592.541	591.561	627.682	548.880
0.035	665.404	596.455	593.562	591.523	628.047	549.504
0.040	665.671	596.205	594.019	591.528	627.900	548.917
0.045	665.621	596.936	593.017	592.038	628.807	549.217
0.050	665.725	595.786	594.384	591.251	627.793	549.897
0.055	665.410	595.695	593.844	592.039	627.846	548.736
0.060	665.861	597.154	593.686	592.223	628.222	550.383
0.065	666.399	596.489	593.448	591.773	627.265	549.346
0.070	666.887	597.279	593.507	592.136	628.667	549.651
0.075	665.874	595.413	593.078	591.774	627.810	549.363
0.080	665.548	595.551	592.583	592.459	627.166	549.461
0.085	666.335	596.676	594.092	592.781	629.779	548.667
0.090	665.505	595.996	593.498	591.877	627.872	548.876
0.095	665.968	596.494	594.096	592.888	627.281	549.075
0.100	665.885	596.395	593.467	591.726	628.129	548.954
0.105	666.776	596.381	593.241	593.128	627.882	548.829
0.110	665.295	597.223	592.946	592.655	627.747	548.124
0.115	666.190	597.030	592.676	592.705	628.103	550.343
0.120	665.970	597.136	592.364	593.059	626.527	548.611
0.125	666.074	596.780	592.005	592.518	628.167	549.003
0.130	665.673	596.599	591.978	593.468	626.478	549.378
0.135	665.955	597.568	591.443	591.655	626.635	549.436
0.140	666.387	596.986	591.342	593.452	627.696	549.160
0.145	666.099	596.460	592.418	592.966	626.735	549.561
0.150	666.171	596.808	592.542	594.069	627.565	548.244
0.155	665.902	596.807	592.858	593.252	627.426	548.383
0.160	665.734	596.537	592.338	593.192	627.124	549.073
0.165	666.292	596.885	592.447	594.228	627.225	548.697
0.170	667.020	596.258	593.041	594.143	628.059	549.513
0.175	665.552	595.910	592.098	592.743	628.178	549.310
0.180	666.216	597.046	593.218	594.118	628.731	547.860
0.185	665.857	597.339	593.800	592.961	627.166	548.133
0.190	666.652	596.825	592.168	594.475	627.887	549.376
0.195	666.035	596.186	592.974	593.619	627.673	548.772
0.200	666.544	596.500	591.724	593.763	627.264	548.324
0.205	666.327	596.663	592.480	592.672	627.422	548.044
0.210	665.710	597.035	592.187	592.628	627.389	547.849
0.215	666.796	597.453	592.482	593.929	627.457	547.709
0.220	666.089	598.585	592.312	594.868	627.496	547.380
0.225	666.805	597.562	591.633	593.823	626.674	548.152
0.230	666.327	596.657	591.975	593.662	627.568	547.758
0.235	666.505	596.917	591.196	593.966	628.231	547.533
0.240	666.448	597.963	592.367	594.384	627.226	548.360
0.245	666.033	597.922	592.398	593.443	627.312	547.311
0.250	666.415	597.007	591.785	594.942	626.857	547.827
0.255	666.622	596.440	591.381	593.685	627.316	547.722
0.260	665.245	596.472	591.733	594.108	627.773	548.483
0.265	666.125	596.781	592.181	592.683	626.682	548.191
0.270	665.453	597.312	591.754	593.826	627.269	547.755
0.275	666.113	597.267	592.159	593.933	627.954	548.188
0.280	665.541	597.356	593.007	594.881	626.468	547.113
0.285	666.101	597.108	592.687	595.006	627.594	548.352
0.290	665.814	597.689	592.537	595.144	627.081	547.041
0.295	665.571	597.653	591.980	594.390	627.205	548.551
0.300	665.220	597.374	592.170	594.919	625.954	547.772
0.305	665.510	596.724	591.576	594.063	626.870	547.631
0.310	666.063	596.333	592.681	594.405	626.109	546.939
0.315	665.771	597.399	592.051	595.682	626.448	547.251
0.320	665.638	598.231	592.314	595.630	626.376	547.156
0.325	664.704	597.207	591.187	595.583	626.567	547.125
0.330	665.543	596.800	593.236	594.665	625.700	547.814
0.335	666.574	597.048	591.518	594.965	627.213	547.852
0.340	665.442	597.026	592.480	594.793	625.635	547.496
0.345	666.041	597.518	592.648	595.477	626.214	546.623
0.350	665.098	596.969	591.935	595.365	625.725	547.896
0.355	665.326	596.435	592.187	596.290	625.758	546.493
0.360	666.070	596.548	592.504	594.898	625.744	547.693
0.365	666.541	596.357	592.025	595.513	626.565	547.420
